Cameroonian_33,adjective,Cameroonian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Cameroon,dbo:Film,dbo:Film
Cameroonian_34,adjective,Cameroonian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Cameroon,dbo:Film,dbo:Film
Canadian_35,adjective,Canadian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Canada,dbo:Film,dbo:Film
Canadian_36,adjective,Canadian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Canada,dbo:Film,dbo:Film
Chilean_37,adjective,Chilean,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Chile,dbo:Film,dbo:Film
Chilean_38,adjective,Chilean,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Chile,dbo:Film,dbo:Film
Chinese_39,adjective,Chinese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:China,dbo:Film,dbo:Film
Chinese_40,adjective,Chinese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:China,dbo:Film,dbo:Film
Colombian_41,adjective,Colombian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Colombia_*,dbo:Film,dbo:Film
Colombian_42,adjective,Colombian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Colombia_*,dbo:Film,dbo:Film
Costa-Rican_43,adjective,Costa Rican,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Costa_Rica,dbo:Film,dbo:Film
Costa-Rican_44,adjective,Costa Rican,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Costa_Rica,dbo:Film,dbo:Film
Croatian_45,adjective,Croatian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Croatia,dbo:Film,dbo:Film
Croatian_46,adjective,Croatian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Croatia,dbo:Film,dbo:Film
Cuban_47,adjective,Cuban,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Cuba,dbo:Film,dbo:Film
Cuban_48,adjective,Cuban,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Cuba,dbo:Film,dbo:Film
Czech_49,adjective,Czech,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Czech_Republic,dbo:Film,dbo:Film
Czech_50,adjective,Czech,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Czech_Republic,dbo:Film,dbo:Film
Danish_51,adjective,Danish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Denmark,dbo:Film,dbo:Film
Danish_52,adjective,Danish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Denmark,dbo:Film,dbo:Film
Dominican_53,adjective,Dominican,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Dominican_Republic,dbo:Film,dbo:Film
Dominican_54,adjective,Dominican,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Dominican_Republic,dbo:Film,dbo:Film
Ecuadorian_55,adjective,Ecuadorian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Ecuador,dbo:Film,dbo:Film
Ecuadorian_56,adjective,Ecuadorian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Ecuador,dbo:Film,dbo:Film
Egyptian_57,adjective,Egyptian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Egypt,dbo:Film,dbo:Film
Egyptian_58,adjective,Egyptian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Egypt,dbo:Film,dbo:Film
Salvadorian_59,adjective,Salvadorian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:El_Salvador,dbo:Film,dbo:Film
Salvadorian_60,adjective,Salvadorian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:El_Salvador,dbo:Film,dbo:Film
English_61,adjective,English,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:England,dbo:Film,dbo:Film
English_62,adjective,English,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:England,dbo:Film,dbo:Film
Estonian_63,adjective,Estonian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Estonia,dbo:Film,dbo:Film
Estonian_64,adjective,Estonian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Estonia,dbo:Film,dbo:Film
Ethiopian_65,adjective,Ethiopian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Ethiopia,dbo:Film,dbo:Film
Ethiopian_66,adjective,Ethiopian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Ethiopia,dbo:Film,dbo:Film
Fijian_67,adjective,Fijian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Fiji,dbo:Film,dbo:Film
Fijian_68,adjective,Fijian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Fiji,dbo:Film,dbo:Film
Finnish_69,adjective,Finnish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Finland,dbo:Film,dbo:Film
Finnish_70,adjective,Finnish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Finland,dbo:Film,dbo:Film
French_71,adjective,French,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:France,dbo:Film,dbo:Film
French_72,adjective,French,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:France,dbo:Film,dbo:Film
German_73,adjective,German,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Germany,dbo:Film,dbo:Film
German_74,adjective,German,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Germany,dbo:Film,dbo:Film
Ghanaian_75,adjective,Ghanaian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Ghana,dbo:Film,dbo:Film
Ghanaian_76,adjective,Ghanaian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Ghana,dbo:Film,dbo:Film
Greek_77,adjective,Greek,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Greece,dbo:Film,dbo:Film
