LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPerfect,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range
designate_at_1,verb,designate,designates,designated,designated,at,IntransitivePPFrame,range,domain,1,dbo:year,dbo:Event,xsd:date
assassinate_in,verb,assassinate,assassinates,assassinated,assassinated,in,IntransitivePPFrame,domain,range,1,dbo:deathPlace,dbo:Person,dbo:Place
originate_in_1,verb,originate,originates,originated,originated,in,IntransitivePPFrame,domain,range,1,dbo:origin,dbo:Beverage,dbo:Country
extend_to_1,verb,extend,extends,extended,extended,in,IntransitivePPFrame,domain,range,1,dbo:country,dbo:Mountain,dbo:Country
admitted_as,verb,admit,admits,admitted,admitted,as,IntransitivePPFrame,range,domain,1,dbp:admittancedate,dbo:Settlement,xsd:date
establish_in_2,verb,establish,establishes,established,established,in,IntransitivePPFrame,domain,range,1,dbp:established,dbo:Agent,xsd:gYear
record_for_1,verb,record,records,recorded,recorded,for,IntransitivePPFrame,range,domain,1,dbo:releaseDate,dbo:Work,xsd:date
record_for_2,verb,record,records,recorded,recorded,for,IntransitivePPFrame,domain,range,1,dbo:recordLabel,dbo:Work,dbo:RecordLabel
found_in_1,verb,found,founds,founded,founded,in,IntransitivePPFrame,range,domain,1,dbo:govermentType,dbo:Organisation,xsd:string
shot_in_1,verb,shot,shots,shot,shot,in,IntransitivePPFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date
speak_in_1,verb,speak,speaks,spoken,spoken,in,IntransitivePPFrame,domain,range,1,dbo:spokenIn,dbo:Language,dbo:Place
start_in_2,verb,start,starts,started,started,in,IntransitivePPFrame,domain,range,1,dbo:sourceCountry,dbo:River,dbo:Place
start_at_3,verb,start,starts,started,started,at,IntransitivePPFrame,range,domain,1,dbo:date,dbo:Event,xsd:date
speak_in_2,verb,speak,speaks,spoken,spoken,in,IntransitivePPFrame,domain,range,1,dbo:language,dbo:Work,dbo:Language
end_his_active_career_1,verb,end his active career,-,-,-,in,IntransitivePPFrame,range,domain,1,dbo:activeYearsEndDate,dbo:Person,xsd:date
start_in_3,verb,start,starts,started,started,in,IntransitivePPFrame,domain,range,1,dbo:sourceCountry,dbo:River,dbo:Country
serving_in_1,verb,serve,serving,served,served,in,IntransitivePPFrame,domain,range,1,dbp:employees,dbo:Settlement,xsd:nonNegativeInteger
involve_in,verb,involve,involves,involved,involve,in,IntransitivePPFrame,domain,range,1,dbo:battle,dbo:Person,dbo:Event
