LemonEntry,partOfSpeech,writtenFormInfinitive,writtenFormThridPerson,writtenFormPast,writtenFormPast,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range,QALD
end_career_on,verb,end his active career,ends his active career,ended his active career,ended his active career,on,IntransitivePPFrame,range,domain,1,dbo:activeYearsEndDate,dbo:Athlete,xsd:date,Qald9-training
end_in_1,verb,end,ends,ended,ended,in,IntransitivePPFrame,range,domain,1,dbo:routeEnd,dbo:Road,dbo:City,Qald9-training
end_in_2,verb,end,ends,ended,ended,in,IntransitivePPFrame,domain,range,1,dbo:mouthPlace,dbo:River,dbo:PopulatedPlace,Qald9-training
end_in_3,verb,end,ends,ended,ended,in,IntransitivePPFrame,domain,range,2,dbo:mouthCountry,dbo:River,dbo:Country,Qald9-training
come_from,verb,come,comes,came,come,from,IntransitivePPFrame,domain,range,1,dbo:nationality,dbo:Person,dbo:Country,Qald9-training
flow_into,verb,flow,flows,flowed,flown,into,IntransitivePPFrame,domain,range,1,dbo:inflow,dbo:River,dbo:River,Qald9-training
grow_in,verb,grow,grows,grew,grown,in,IntransitivePPFrame,range,domain,1,dbo:growingGrape,dbo:WineRegion,dbo:Grape,Qald9-training
die_from_1,verb,die,dies,died,died,from,IntransitivePPFrame,domain,range,1,dbo:deathCause,dbo:Person,owl:Thing,Qald9-training
begin_at_1,verb,begin,begins,began,begun,at,IntransitivePPFrame,domain,range,1,dbp:source1Location,dbo:River,dbo:Country,Qald9-training
begin_at_2,verb,begin,begins,began,began,at,IntransitivePPFrame,domain,range,1,dbp:source2Location,dbo:River,dbo:City,Qald9-training
born_in_1,verb,born,-,born,born,in,IntransitivePPFrame,range,domain,1,dbo:birthYear,dbo:Person,xsd:gYear,Qald9-training
born_in_2,verb,born,-,born,born,in,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Person,dbo:Place,Qald9-training
born_on_3,verb,born,-,born,born,on,IntransitivePPFrame,range,domain,1,dbo:birthDate,dbo:Person,xsd:date,Qald9-training
dissolve_on_1,verb,dissolve,dissolves,dissolved,dissolved,on,IntransitivePPFrame,range,domain,1,dbo:dissolutionDate,dbo:Place,xsd:date,Qald9-training
written_in,verb,write,writes,wrote,written,in,IntransitivePPFrame,domain,range,1,dbo:programmingLanguage,dbo:Work,dbo:Language,Qald9-training
complete_in_1,verb,complete,completes,completed,completed,in,IntransitivePPFrame,range,domain,2,dbo:completionDate,dbo:Ship,xsd:date,Qald9-training
complete_in_2,verb,complete,completes,completed,completed,in,IntransitivePPFrame,range,domain,1,dbo:buildingEndDate,dbo:ArchitecturalStructure,xsd:gYear,Qald9-training
participate_in_1,verb,participate,participates,participated,participated,in,IntransitivePPFrame,range,domain,1,dbo:battle,dbo:MilitaryPerson,dbo:MilitaryConflict,Qald9-training
die_on_1,verb,die,dies,died,died,on,IntransitivePPFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date,Qald9-training
die_in_2,verb,die,dies,died,died,in,IntransitivePPFrame,domain,range,1,dbo:deathPlace,dbo:Writer,dbo:Place,Qald9-training
die_from_2,verb,die,dies,died,died,from,IntransitivePPFrame,domain,range,1,dbp:deathCause,dbo:Person,dbo:Disease,Qald9-training
