LemonEntry,partOfSpeech,writtenFormInfinitive,writtenFormThridPerson,writtenFormPast,writtenFormPast,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range,domainArticle,domainWrittenSingular,domainWrittenPlural,rangeArticle,rangeWrittenSingular,rangeWrittenPlural
Stattfinden,TrennVerb,stattfinden,findet statt,fand statt,stattgefunden,am,IntransitivePPFrame,domain,range,1,dbp:date,dbo:MilitaryConflict,xsd:date,feminine,Veranstaltung,Veranstaltungen,neuter,-,-
durchfhren,TrennVerb,durchfhren,fhrt durch,fhrte durch,durchgefhrt,am,IntransitivePPFrame,domain,range,1,dbo:date,dbo:MilitaryConflict,xsd:date,masculine,Milit„rKonflikt,Milit„rKonflikte,neuter,-,-
verheiraten_mit,verb,verheiraten,verheiratet,verheiratete,verheiratet,mit,IntransitivePPFrame,domain,range,1,dbo:spouse,dbo:Person,dbo:Person,masculine,Person,Personen,masculine,Person,Personen
aufh”ren,TrennVerb,aufh”ren,h”rt auf,h”rte auf,aufgeh”rt,in,IntransitivePPFrame,domain,range,1,dbo:routeEnd,dbo:Road,dbo:Location,feminine,Straáe,Straáen,feminine,Stadt,Stadte
gestorben_an,verb,sterben,stirbt,starb,gestorben,an,IntransitivePPFrame,domain,range,1,dbo:deathCause,dbo:Person,dbo:Disease,masculine,Person,Personen,feminine,Erkrankung,Erkrankungen
gestorben_am,verb,sterben,stirbt,starb,gestorben,am,IntransitivePPFrame,domain,range,1,dbo:deathDate,dbo:Person,xsd:date,feminine,Person,Personen,neuter,Jahr,Jahren
gestorben_in,verb,sterben,stirbt,starb,gestorben,in,IntransitivePPFrame,range,domain,1,dbo:deathPlace,dbo:Person,dbo:City,feminine,Person,Personen,feminine,Stadt,St„dte
fliessen_durch_1,verb,flieáen,flieát,floss,geflossen,durch,IntransitivePPFrame,domain,range,1,dbo:city,dbo:River,dbo:City,masculine,Fluss,Flsse,feminine,Stadt,St„dte
fliessen_durch_2,verb,flieáen,flieát,floss,geflossen,durch,IntransitivePPFrame,domain,range,1,dbp:country,dbo:River,dbo:Country,masculine,Fluss,Flsse,neuter,Land,L„nder
šberspannen,verb,berspannen,berspannt,berspannte,berspannt,in,IntransitivePPFrame,domain,range,1,dbo:crosses,dbo:Bridge,dbo:BodyOfWater,feminine,Brcke,Brcken,masculine,Fluss,Fluss
anfangen,TrennVerb,anfangen,f„ngt an,f„ngt an,angefangen,in,IntransitivePPFrame,domain,range,1,dbo:routeStart,dbo:Place,dbo:Road,feminine,Lage,Lagen,feminine,Strasse,Strassen
sprechen,verb,sprechen,spricht,sprach,gesprochen,in,IntransitivePPFrame,domain,range,1,dbo:language,dbo:Country,dbo:Language,neuter,Land,L„nder,feminine,Sprache,Sprachen
entspringen,veb,entspringen,entspringt,entsprang,entsprungen,in,IntransitivePPFrame,domain,range,1,dbp:mouthLocation,dbo:River,dbo:Place,masculine,Fluss,Flsse,neuter,Land,L„nder
geborn_am_1,verb,geb„ren,geb„rt,gebar,geboren,am,IntransitivePPFrame,domain,range,1,dbo:birthYear,dbo:Person,xsd:date,masculine,Person,Personen,neuter,Jahr,Jahren
geborn_in_1,verb,geb„ren,geb„rt,gebar,geboren,in,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Person,dbo:Place,masculine,Person,Personen,neuter,Stadt,St„dte
geborn_in_2,verb,geb„ren,geb„rt,gebar,geboren,in,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Person,dbo:City,feminine,Person,Personen,feminine,Stadt,Stadte
geborn_in_3,verb,geb„ren,geb„rt,gebar,geboren,in,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Person,dbo:Country,feminine,Person,Personen,neuter,Land,L„nder
geborn_in_4,verb,geb„ren,geb„rt,gebar,geboren,in,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Actor,dbo:Country,masculine,Schauspieler,Schauspieler,neuter,Land,L„nder
geborn_in_5,verb,geb„ren,geb„rt,gebar,geboren,in,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Surfer,dbo:Country,masculine,Surfer,Surfer,neuter,Land,L„nder
fertigstellen_in,TrennVerb,fertigstellen,stellt fertig,stellte fertig,fertiggestellt,in,IntransitivePPFrame,domain,range,1,dbo:completionDate,dbo:Ship,xsd:date,neuter,Schiff,Schiffe,neuter,-,-
