lemon,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,Dataset
type_of,noun,type,types,of,NounPPFrame,range,domain,1,dbo:class,dbo:Insect,owl:Thing,
Density_1,noun,density,densities,of,NounPPFrame,range,domain,1,dbp:densityrank,dbo:Place,xsd:nonNegativeInteger,
number_of_entrance_1,noun,number of entrance,number of entrances,of,NounPPFrame,range,domain,1,dbp:entranceCount,dbo:Cave,xsd:nonNegativeInteger,
entrance_of_1,noun,entrance,entrances,of,NounPPFrame,range,domain,1,dbp:entranceCount,dbo:Cave,xsd:nonNegativeInteger,
mineral_of_1,noun,mineral,minerals,of,NounPPFrame,range,domain,1,dbp:mineral,dbo:Place,dbo:Currency,
carb_of,noun,carb,carbs,of,NounPPFrame,range,domain,1,dbp:carbs,dbo:Food,xsd:string,
province_of,noun,province,provinces,of,NounPPFrame,range,domain,1,dbo:province,dbo:Place,dbo:Province,
race_of,noun,race,races,of,NounPPFrame,range,domain,1,dbo:races,dbo:Person,xsd:nonNegativeInteger,
region_of,noun,region,regions,of,NounPPFrame,range,domain,1,dbo:wineRegion,dbo:Grape,dbo:Place,
B-sides_of,noun,B-side,B-sides,of,NounPPFrame,range,domain,1,dbo:bSide,dbo:Work,xsd:string,
store_of,noun,store,stores,of,NounPPFrame,range,domain,1,dbo:numberOfLocations,dbo:Company,xsd:nonNegativeInteger,
area_of,noun,area,areas,of,NounPPFrame,range,domain,1,dbo:areaTotal,dbo:Place,xsd:double,
total_area_of,noun,total area,total area,of,NounPPFrame,range,domain,1,dbo:areaTotal,dbo:Place,xsd:double,
birthplace_of,noun,birthplace,-,of,NounPPFrame,range,domain,1,dbo:birthPlace,dbo:Person,dbo:Place,
span_of,noun,span,spans,of,NounPPFrame,range,domain,1,dbo:mainspan,dbo:Bridge,xsd:double,
visitor_of,noun,visitor,visitors,of,NounPPFrame,range,domain,1,dbo:numberOfVisitors,dbo:Museum,xsd:nonNegativeInteger,
total-amount-of-employee-of,noun,total amount of employee,total amount of employees,of,NounPPFrame,range,domain,1,dbo:employees,dbo:Settlement,xsd:nonNegativeInteger,
total-amount-of-men-and-women,noun,total amount of men and women,total amount of men and women,of,NounPPFrame,range,domain,1,dbp:employees,dbo:Settlement,xsd:nonNegativeInteger,
