"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-1533","noun","book","book",,"""NounPPFrame""","range","domain","1","dbo:isbn","dbo:Book","xsd:string","""0.619449675382512""","dbo:isbn","""""""1-gram"""""""
"lexicalEntry-1534","noun","book","book",,"""NounPPFrame""","domain","range","1","dbo:isbn","dbo:Book","xsd:string","""0.619449675382512""","dbo:isbn","""""""1-gram"""""""
"lexicalEntry-1547","noun","the book","the book",,"""NounPPFrame""","range","domain","1","dbo:isbn","dbo:Book","xsd:string","""0.394013926264346""","dbo:isbn","""""""2-gram"""""""
"lexicalEntry-1548","noun","the book","the book",,"""NounPPFrame""","domain","range","1","dbo:isbn","dbo:Book","xsd:string","""0.394013926264346""","dbo:isbn","""""""2-gram"""""""
"lexicalEntry-1551","noun","series","series",,"""NounPPFrame""","range","domain","1","dbo:isbn","dbo:Book","xsd:string","""0.383384272175255""","dbo:isbn","""""""1-gram"""""""
"lexicalEntry-1552","noun","series","series",,"""NounPPFrame""","domain","range","1","dbo:isbn","dbo:Book","xsd:string","""0.383384272175255""","dbo:isbn","""""""1-gram"""""""
"lexicalEntry-1553","noun","american","american",,"""NounPPFrame""","range","domain","1","dbo:isbn","dbo:Book","xsd:string","""0.367985655462292""","dbo:isbn","""""""1-gram"""""""
"lexicalEntry-1554","noun","american","american",,"""NounPPFrame""","domain","range","1","dbo:isbn","dbo:Book","xsd:string","""0.367985655462292""","dbo:isbn","""""""1-gram"""""""
