"lemon","partOfSpeech","writtenForm(singular)","writtenForm(plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-1049","noun","1990 census","1990 census",,"""NounPPFrame""","range","domain","1","dbo:governmentType","dbo:Town","owl:Thing","""0.629925709905541""","dbo:governmentType","""""""3-gram"""""""
"lexicalEntry-1050","noun","1990 census","1990 census",,"""NounPPFrame""","domain","range","1","dbo:governmentType","dbo:Town","owl:Thing","""0.629925709905541""","dbo:governmentType","""""""3-gram"""""""
"lexicalEntry-1057","noun","in turn","in turn",,"""NounPPFrame""","range","domain","1","dbo:governmentType","dbo:Town","owl:Thing","""0.628649345820068""","dbo:governmentType","""""""3-gram"""""""
"lexicalEntry-1058","noun","in turn","in turn",,"""NounPPFrame""","domain","range","1","dbo:governmentType","dbo:Town","owl:Thing","""0.628649345820068""","dbo:governmentType","""""""3-gram"""""""
"lexicalEntry-1059","noun","2000 census","2000 census",,"""NounPPFrame""","range","domain","1","dbo:governmentType","dbo:Town","owl:Thing","""0.627375485654325""","dbo:governmentType","""""""3-gram"""""""
"lexicalEntry-1060","noun","2000 census","2000 census",,"""NounPPFrame""","domain","range","1","dbo:governmentType","dbo:Town","owl:Thing","""0.627375485654325""","dbo:governmentType","""""""3-gram"""""""
"lexicalEntry-1063","noun","census in","census in",,"""NounPPFrame""","range","domain","1","dbo:governmentType","dbo:Town","owl:Thing","""0.626099033699941""","dbo:governmentType","""""""4-gram"""""""
"lexicalEntry-1064","noun","census in","census in",,"""NounPPFrame""","domain","range","1","dbo:governmentType","dbo:Town","owl:Thing","""0.626099033699941""","dbo:governmentType","""""""4-gram"""""""
