LemonEntry,partOfSpeech,gender,writtenFormNominative(singular),writtenFormNominative (plural),writtenFormSingular (accusative),writtenFormSingular (dative),writtenFormSingular (genetive),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range
Catherine,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Ontario,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Port,noun,masculine,Port,Ports,Port,Port,Ports,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Markus,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Leichtathletik,noun,feminine,Leichtathletik,,Leichtathletik,Leichtathletik,Leichtathletik,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Weltmeisterin,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/coach,http://dbpedia.org/ontology/IceHockeyLeague,http://dbpedia.org/ontology/CollegeCoach
Marathonläufer,noun,masculine,Marathonläufer,Marathonläufer,Marathonläufer,Marathonläufer,Marathonläufers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Jennifer,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Mann,noun,masculine,Mann,Mannen,Mann,Manne,Manns,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Fernando,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Trainerin,noun,feminine,Trainerin,Trainerinnen,Trainerin,Trainerin,Trainerin,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Norden,noun,masculine,Norden,,Norden,Norden,Nordens,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Wechsel,noun,masculine,Wechsel,Wechsel,Wechsel,Wechsel,Wechsels,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
County,noun,neuter,County,County,County,County,County,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Bronzemedaille,noun,feminine,Bronzemedaille,Bronzemedaillen,Bronzemedaille,Bronzemedaille,Bronzemedaille,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/coach,http://dbpedia.org/ontology/IceHockeyLeague,http://dbpedia.org/ontology/CollegeCoach
Ukrainische,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Carolina,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Medaillen,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Kalifornien,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Pennsylvania,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Hoch-,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Carl,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Cruz,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Tobias,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
SV,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Cetinje,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Nantes,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Linkshänderin,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Kerala,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Olympiasieg,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
DÃ©partement,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
HÃ¥ndball,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Handball-Weltmeisterschaft,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Abwehr,noun,feminine,Abwehr,Abwehren,Abwehr,Abwehr,Abwehr,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Andrej,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Marathonläuferin,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Leichtathletinnen,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Carvalho,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Park,noun,masculine,Park,Pärke,Park,Parke,Parkes,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Cuba,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Spain,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Geburtsname,noun,masculine,Geburtsname,Geburtsnamen,Geburtsnamen,Geburtsnamen,Geburtsnamens,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
of,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Geburtsname,noun,masculine,Geburtsname,Geburtsnamen,Geburtsnamen,Geburtsnamen,Geburtsnamens,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Jessica,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Neuhausen,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Ciudad,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Trier,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Martinique,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Victoria,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Metalurg,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Ausbildung,noun,feminine,Ausbildung,Ausbildungen,Ausbildung,Ausbildung,Ausbildung,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Nikola,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Regionalligisten,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Handball-Europameisterschaft,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Valur,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Friesenheim,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
PÅock,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Cottbus,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Spitzenklub,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Flensburg,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Mohamed,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Oberliga,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Rijeka,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
TSG,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
ASV,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Hamm-Westfalen,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Herrenmannschaft,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Rumänien,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Ehrenlegion,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Spezialstrecke,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Athlet,noun,masculine,Athlet,Athleten,Athleten,Athleten,Athleten,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Ahmed,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Richard,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Williams,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Sekunde,noun,feminine,Sekunde,Sekunden,Sekunde,Sekunde,Sekunde,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Umschrift,noun,feminine,Umschrift,Umschriften,Umschrift,Umschrift,Umschrift,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Leichtathletik-Juniorenweltmeisterschaften,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
England,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Uttar,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Anastasiya,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
BSSR,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Ultraläufer,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Tola,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Muá¸¥ammad,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Landesrekordes,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Weitsprung,noun,masculine,Weitsprung,Weitsprünge,Weitsprung,Weitsprunge,Weitsprungs,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/coach,http://dbpedia.org/ontology/IceHockeyLeague,http://dbpedia.org/ontology/CollegeCoach
Klasse,noun,feminine,Klasse,Klassen,Klasse,Klasse,Klasse,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Nils,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Juri,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Cruz,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
La,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Havanna,noun,masculine,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Mario,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Karriereende,noun,neuter,Karriereende,Karriereenden,Karriereende,Karriereende,Karriereendes,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Hallenhandball,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Eltern,noun,,,Eltern,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Kind,noun,neuter,Kind,Kinder,Kind,Kinde,Kinds,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Taschkent,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Co-Trainer,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Mehrkampf,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Turin,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Marija,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Singapur,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Müller,noun,masculine,Müller,Müller,Müller,Müller,Müllers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Andrei,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
essen,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Europameisterschaft,noun,feminine,Europameisterschaft,Europameisterschaften,Europameisterschaft,Europameisterschaft,Europameisterschaft,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Wettkampf,noun,masculine,Wettkampf,Wettkämpfe,Wettkampf,Wettkampfe,Wettkampfs,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Weltmeistertitel,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Hochspringer,noun,masculine,Hochspringer,Hochspringer,Hochspringer,Hochspringer,Hochspringers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Schwester,noun,feminine,Schwester,Schwestern,Schwester,Schwester,Schwester,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Erik,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Punkt,noun,masculine,Punkt,Punkte,Punkt,Punkte,Punkts,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Julija,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Magnus,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Beachhandballspieler,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Handballtorhüterin,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Heirat,noun,feminine,Heirat,Heiraten,Heirat,Heirat,Heirat,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Anastassija,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
PÃ©rez,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Lagenstaffel,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Marcel,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Meyer,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Katar,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Diskuswerfer,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Mixed-Staffel,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Gabriel,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
Bensheim/Auerbach,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Ystad,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Tamara,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Angriff,noun,masculine,Angriff,Angriffe,Angriff,Angriffe,Angriffs,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Hypo,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Schaffhausen,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Hannes,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Andersson,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Europa,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Rekordmeister,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Silber-,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Portugal,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Schwartau,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Speerwerfer,noun,masculine,Speerwerfer,Speerwerfer,Speerwerfer,Speerwerfer,Speerwerfers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Hongkong,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Wladimirowitsch,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Tochter,noun,feminine,Tochter,Töchter,Tochter,Tochter,Tochter,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Manchester,noun,masculine,Manchester,,Manchester,Manchester,Manchesters,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Alexandrowitsch,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Santiago,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Buenos,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Sankt,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Montenegro,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Katharina,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Vardar,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Balonmano,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Ligakonkurrenten,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Handball-Bundesligisten,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Comeback,noun,neuter,Comeback,Comebacks,Comeback,Comeback,Comebacks,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Sävehof,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Velenje,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Bielefeld,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Bjerringbro-Silkeborg,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Spitzenverein,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Leistung,noun,feminine,Leistung,Leistungen,Leistung,Leistung,Leistung,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
Sara,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Lighthouse,xsd:integer
