LemonEntry,partOfSpeech,gender,writtenFormNominative(singular),writtenFormNominative (plural),writtenFormSingular (accusative),writtenFormSingular (dative),writtenFormSingular (genetive),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range
Region,noun,feminine,Region,Regionen,Region,Region,Region,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/ground,http://dbpedia.org/ontology/SportsClub,http://dbpedia.org/ontology/Stadium
Kanton,noun,masculine,Kanton,Kantone,Kanton,Kanton,Kantons,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
D̩partement,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Arrondissement,noun,neuter,Arrondissement,Arrondissements,Arrondissement,Arrondissement,Arrondissements,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Seat,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
County,noun,neuter,County,County,County,County,County,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Hauptort,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Verwaltungssitz,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Region,noun,feminine,Region,Regionen,Region,Region,Region,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Bundesstaat,noun,masculine,Bundesstaat,Bundesstaaten,Bundesstaat,Bundesstaate,Bundesstaats,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
