LemonEntry,partOfSpeech,gender,writtenFormNominative(singular),writtenFormNominative (plural),writtenFormSingular (accusative),writtenFormSingular (dative),writtenFormSingular (genetive),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,domain_article,domain_written_singular,domain_written_plural,rangeArticle,range_written_singular,range_written_plural,sparql_1,question_2,sparql_2,question_3,sparql_3,question_4,sparql_4,question_5,sparql_5,comment
boardgame_by_1,noun,neuter,Brettspiel,Brettspiele,Brettspiel,Brettspiel,Brettspiels,von,NounPPFrame,domain,range,1,dbo:publisher,dbo:Work,dbo:Agent,neuter,Land,L√§nder,feminine,Stadt,-,,,,,,,,,,
BÅrgermeister_von_1,noun,masculine,BÅrgermeister,-,BÅrgermeister,BÅrgermeister,BÅrgermeisters,von,NounPPFrame,range,domain,1,dbo:mayor,dbo:City,dbo:Person,,,,,,,,,,,,,,,,
BÅrgermeister_von_2,noun,masculine,BÅrgermeister,-,BÅrgermeister,BÅrgermeister,BÅrgermeisters,von,NounPPFrame,range,domain,1,dbo:leaderName,dbo:City,dbo:Person,,,,,,,,,,,,,,,,
