domain,range
dbo:Athlete,xsd:date
dbo:Road,dbo:City
dbo:River,dbo:PopulatedPlace
dbo:River,dbo:Country
dbo:Person,dbo:Country
dbo:River,dbo:River
dbo:WineRegion,dbo:Grape
dbo:Person,owl:Thing
dbo:River,dbo:Country
dbo:River,dbo:City
dbo:Person,xsd:gYear
dbo:Person,dbo:Place
dbo:Person,xsd:date
dbo:Place,xsd:date
dbo:Work,dbo:Language
dbo:Ship,xsd:date
dbo:ArchitecturalStructure,xsd:gYear
dbo:MilitaryPerson,dbo:MilitaryConflict
dbo:Person,xsd:date
dbo:Writer,dbo:Place
dbo:Person,dbo:Disease
dbo:Person,dbo:City
dbo:Person,dbo:City
dbo:Organisation,xsd:gYear
dbo:Company,dbo:Country
dbo:Settlement,xsd:gYear
dbo:PoliticalParty,xsd:gYear
dbo:Organisation,xsd:date
dbo:Organisation,xsd:string
dbo:MilitaryConflict,xsd:date
dbo:Event,xsd:date
dbo:Scientist,dbo:MilitaryUnit
dbo:City,dbo:Country
dbo:MilitaryUnit,dbo:Location
dbo:Place,dbo:Place
dbo:Organisation,dbo:Place
dbo:Airport,dbo:City
dbo:Mountain,dbo:Country
dbo:University,dbo:State
dbo:Person,dbo:City
dbo:Country,xsd:double
dbo:Country,xsd:string
dbo:River,dbo:City
dbo:River,dbo:Country
dbo:Road,dbo:Road
dbo:River,dbo:Country
dbo:MilitaryConflict,xsd:date
dbo:Company,dbo:Location
owl:Thing,xsd:string
dbo:Film,dbo:Actor
dbo:AmericanFootballPlayer,xsd:gYear
dbo:ArchitecturalStructure,xsd:gYear
dbo:ArchitecturalStructure,xsd:gYear
dbo:ArchitecturalStructure,xsd:gYear
dbo:Organisation,xsd:date
dbo:PoliticalParty,xsd:date
dbo:TelevisionShow,xsd:date
dbo:Software,owl:Thing
dbo:Song,xsd:date
dbo:Book,xsd:date
dbo:Song,xsd:gYear
dbo:Book,xsd:gYear
dbo:ArchitecturalStructure,xsd:date
dbo:ArchitecturalStructure,xsd:date
dbo:ArchitecturalStructure,xsd:gYear
dbo:ArchitecturalStructure,xsd:date
dbo:ArchitecturalStructure,xsd:gYear
dbo:Beverage,xsd:date
dbo:Beverage,xsd:gYear
dbo:Beverage,xsd:date
dbo:Beverage,xsd:gYear
dbo:Bridge,xsd:date
dbo:Bridge,xsd:gYear
dbo:Film,xsd:date
dbo:PeriodicalLiterature,xsd:gYear
dbo:Band,xsd:date
dbo:Work,dbo:Person
dbo:Work,dbo:Person
dbo:Organisation,dbo:Person
dbo:Organisation,dbo:Person
dbo:Actor,xsd:date
dbo:Actor,xsd:date
dbo:MilitaryConflict,xsd:string
dbo:Person,dbo:Band
dbo:Person,owl:Thing
dbo:Band,xsd:date
dbo:Person,dbo:EducationalInstitution
dbo:Beverage,dbo:Beverage
dbo:MusicalWork,dbo:PopulatedPlace
dbo:Song,dbo:Album
dbo:Album,dbo:Genre
dbo:Film,dbo:Genre
dbo:Agent,dbo:PoliticalParty
dbo:WrittenWork,dbo:Genre
dbo:Mountain,dbo:MountainRange
dbo:Person,dbo:Band
dbo:Software,owl:Thing
dbo:Settlement,dbo:Place
dbo:ArchitecturalStructure,owl:Thing
dbo:Athlete,dbo:SportsTeam
dbo:Island,dbo:Country
dbo:Athlete,dbo:SportsTeam
dbo:Settlement,dbo:Agent
dbo:Band,dbo:Band
dbo:Band,dbo:MusicalArtist
dbo:Artist,owl:Thing
dbo:ArchitecturalStructure,xsd:string
dbo:ArchitecturalStructure,xsd:string
dbo:Stream,dbo:Country
dbo:State,dbo:State
dbo:Writer,dbo:EducationalInstitution
dbo:SpaceStation,dbo:Airport
dbo:Swimmer,dbo:City
dbo:President,xsd:gYear
dbo:Person,dbo:SportsClub
dbo:Mountain,dbo:Place
dbo:Event,xsd:date
dbo:Person,dbo:Place
dbo:Beverage,dbo:Country
dbo:Mountain,dbo:Country
dbo:Settlement,xsd:date
dbo:Agent,xsd:gYear
dbo:Work,xsd:date
dbo:Work,dbo:RecordLabel
dbo:Person,xsd:date
dbo:River,dbo:Place
dbo:Event,xsd:date
dbo:Person,xsd:date
dbo:Language,dbo:Place
dbo:Work,dbo:Language
dbo:PopulatedPlace,dbo:Language
dbo:President,xsd:gYear
dbo:Organisation,dbo:Place
dbo:Swimmer,dbo:City
dbo:Person,dbo:Disease
dbo:Animal,xsd:string
dbo:Film,dbo:Person
dbo:Swimmer,dbo:City
dbo:Person,xsd:date
dbo:Language,dbo:Place
dbo:Work,xsd:date
dbo:Work,dbo:Language
dbo:BodyOfWater,dbo:River
dbo:Person,dbo:Place
dbo:Road,dbo:Road
dbo:Organisation,xsd:gYear
dbo:MilitaryConflict,xsd:date
dbo:Agent,xsd:gYear
dbo:Mountain,dbo:Country
dbo:Organisation,xsd:gYear
dbo:Company,dbo:Person
dbo:Film,xsd:date
