domain,range
dbo:TelevisionShow,dbo:Person
dbo:Agent,dbo:Food
dbo:Event,dbo:Agent
dbo:Agent,dbo:PoliticalParty
dbo:Agent,dbo:Company
dbo:Agent,dbo:Country
dbo:Agent,xsd:string
dbo:Agent,dbo:Food
dbo:Agent,dbo:SoccerManager
dbo:Person,xsd:string
dbo:Place,dbo:Agent
dbo:TelevisionEpisode,dbo:Work
dbo:Agent,dbo:MusicalArtist
dbo:Company,dbo:Actor
dbo:MusicalWork,dbo:CreativeWork
dbo:Person,xsd:string
dbo:Agent,dbo:City
dbo:Place,dbo:Place
dbo:Place,xsd:double
dbo:Organisation,dbo:Person
dbo:Organisation,xsd:date
dbo:Work,dbo:Person
dbo:Person,xsd:string
dbo:Country,xsd:nonNegativeInteger
dbo:Person,xsd:string
dbo:Person,xsd:date
dbo:Device,dbo:Country
dbo:Software,dbo:PopulatedPlace
dbo:Company,dbo:Organisation
dbo:Company,dbo:Band
dbo:Country,xsd:nonNegativeInteger
dbo:Place,dbo:PopulatedPlace
dbo:Place,dbo:Country
dbo:MusicalWork,dbo:Actor
dbo:Place,dbo:Organisation
dbo:Agent,dbo:City
dbo:Country,dbo:Holiday
dbo:Work,dbo:Type
dbo:TelevisionEpisode,dbo:Work
dbo:Language,dbo:Language
dbo:TelevisionEpisode,dbo:Work
dbo:City,xsd:string
dbo:Place,dbo:Agent
dbo:Place,dbo:Place
dbo:Person,xsd:String
dbo:Person,xsd:String
dbo:Artwork,dbo:Museum
dbo:VideoGame,dbo:Publisher
dbo:Model/dbo:Tower/dbo:BasketballPlayer,xsd:double
dbo:City,xsd:string
dbo:Company,dbo:Person
dbo:Person,xsd:String
dbo:Person,dbo:EducationalInstitution
dbo:Insect,owl:Thing
dbo:Place,xsd:nonNegativeInteger
dbo:Cave,xsd:nonNegativeInteger
dbo:Cave,xsd:nonNegativeInteger
dbo:Place,dbo:Currency
dbo:Food,xsd:string
dbo:Place,dbo:Province
dbo:Person,xsd:nonNegativeInteger
dbo:Grape,dbo:Place
dbo:Company,xsd:nonNegativeInteger
dbo:Place,xsd:double
dbo:Place,xsd:double
dbo:Person,dbo:Place
dbo:Bridge,xsd:double
dbo:Museum,xsd:nonNegativeInteger
dbo:Settlement,xsd:nonNegativeInteger
dbo:Country,dbo:Place
dbo:Event,xsd:string
dbo:TelevisionShow,dbo:Work
dbo:SportsClub,dbo:Country
dbo:Person,dbo:MusicalArtist
dbo:Person,xsd:date
dbo:Person,dbo:MilitaryConflict
dbo:Agent,xsd:nonNegativeInteger
dbo:WrittenWork,xsd:positiveInteger
dbo:WrittenWork,xsd:positiveInteger
dbo:Place,dbo:Country
dbo:Place,dbo:Person
dbo:Person,xsd:string
dbo:SportsClub,dbo:Stadium
dbo:Company,xsd:string
dbo:Place,dbo:Organisation
dbo:Organisation,dbo:Place
dbo:Person,xsd:string
dbo:Person,xsd:string
dbo:Person,dbo:City
dbo:Person,dbo:Person
dbo:Person,xsd:string
dbo:Person,dbo:Person
dbo:Place,xsd:double
dbo:Person,xsd:string
dbo:Mountain,dbo:Country
dbo:City,xsd:string
dbo:Place,xsd:integer
dbo:Person,xsd:string
dbo:Scientist,dbo:MilitaryUnit
dbo:Book,dbo:Writer
dbo:Person,dbo:Place
dbo:Person,dbo:Person
dbo:Person,xsd:string
dbo:Country,xsd:double
dbo:Person,dbo:Person
dbo:School,xsd:nonNegativeInteger
dbo:Company,xsd:double
dbo:Person,dbo:Person
dbo:Person,xsd:string
dbo:Person,dbo:Country
dbo:Mountain,dbo:Country
dbo:Film,dbo:Person
dbo:Company,dbo:Organisation
dbo:Person,dbo:Person
dbo:Agent,dbo:Food
dbo:Person,dbo:Person
dbo:Person,dbo:Person
dbo:Person,dbo:Person
dbo:Event,dbo:Person
dbo:Colour,xsd:double
dbo:MusicalWork,dbo:CreativeWork
dbo:Work,dbo:Person
dbo:Person,xsd:string
dbo:Person,dbo:EducationalInstitution
dbo:Organisation,dbo:PopulatedPlace
dbo:Organisation,xsd:gYear
dbo:Country,xsd:langString
dbo:Place,dbo:MilitaryUnit
dbo:Place,dbo:Place
dbo:Agent,xsd:string
dbo:Work,dbo:Person
dbo:Food,xsd:integer
dbo:Person,dbo:Person
dbo:Book,dbo:Person
dbo:Work,xsd:date
dbo:Country,dbo:City
dbo:Country,dbo:Holiday
dbo:BroadcastNetwork,dbo:Company
dbo:BroadcastNetwork,dbo:Company
dbo:Place,dbo:Disease
dbo:Company,xsd:positiveInteger
dbo:Person,xsd:string
dbo:Company,xsd:positiveInteger
dbo:BasketballPlayer,xsd:date
dbo:MilitaryConflict,xsd:date
dbo:Food,xsd:integer
dbo:Event,dbo:Person
dbo:Event,dbo:Person
dbo:Airline,dbo:Company
dbo:Film,dbo:Agent
dbo:Person,dbo:Agent
dbo:Person,dbo:Agent
dbo:Place,dbo:Place
dbo:Country,dbo:City
dbo:Place,xsd:date
dbo:Person,dbo:Person
