lemon,partOfSpeech,writtenForm (singular),writtenForm (plural),SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range
moss_of,noun,Moss,Mosss,NounPredicateFrame,range,domain,1,rdf:type,dbo:Moss,dbo:Moss
motorcycle_of,noun,Motorcycle,Motorcycles,NounPredicateFrame,range,domain,1,rdf:type,dbo:Motorcycle,dbo:Motorcycle
motorcyclerider_of,noun,Motorcycle Rider,Motorcycle Riders,NounPredicateFrame,range,domain,1,rdf:type,dbo:MotorcycleRider,dbo:MotorcycleRider
motorsportseason_of,noun,Motorsport Season,Motorsport Seasons,NounPredicateFrame,range,domain,1,rdf:type,dbo:MotorsportSeason,dbo:MotorsportSeason
mountain_of,noun,mountain,mountains,NounPredicateFrame,range,domain,1,rdf:type,dbo:Mountain,dbo:Mountain
mountainpass_of,noun,Mountain Pass,Mountain Passs,NounPredicateFrame,range,domain,1,rdf:type,dbo:MountainPass,dbo:MountainPass
mountain range_of,noun,mountain range,mountain ranges,NounPredicateFrame,range,domain,1,rdf:type,dbo:MountainRange,dbo:MountainRange
muscle_of,noun,Muscle,Muscles,NounPredicateFrame,range,domain,1,rdf:type,dbo:Muscle,dbo:Muscle
museum_of,noun,museum,museums,NounPredicateFrame,range,domain,1,rdf:type,dbo:Museum,dbo:Museum
musicfestival_of,noun,Music Festival,Music Festivals,NounPredicateFrame,range,domain,1,rdf:type,dbo:MusicFestival,dbo:MusicFestival
musicgenre_of,noun,MusicGenre,MusicGenres,NounPredicateFrame,range,domain,1,rdf:type,dbo:MusicGenre,dbo:MusicGenre
musical_of,noun,musical,musicals,NounPredicateFrame,range,domain,1,rdf:type,dbo:Musical,dbo:Musical
musical artist_of,noun,musical artist,musical artists,NounPredicateFrame,range,domain,1,rdf:type,dbo:MusicalArtist,dbo:MusicalArtist
music_of,noun,music,musics,NounPredicateFrame,range,domain,1,rdf:type,dbo:MusicalWork,dbo:MusicalWork
mythologicalfigure_of,noun,Mythological Figure,Mythological Figures,NounPredicateFrame,range,domain,1,rdf:type,dbo:MythologicalFigure,dbo:MythologicalFigure
ncaateamseason_of,noun,NCAATeamSeason,NCAATeamSeasons,NounPredicateFrame,range,domain,1,rdf:type,dbo:NCAATeamSeason,dbo:NCAATeamSeason
nascardriver_of,noun,Nascar Driver,Nascar Drivers,NounPredicateFrame,range,domain,1,rdf:type,dbo:NascarDriver,dbo:NascarDriver
nationalcollegiateathleticassociationathlete_of,noun,National Collegiate Athletic Association Athlete,National Collegiate Athletic Association Athletes,NounPredicateFrame,range,domain,1,rdf:type,dbo:NationalCollegiateAthleticAssociationAthlete,dbo:NationalCollegiateAthleticAssociationAthlete
nationalfootballleagueseason_of,noun,NationalFootballLeagueSeason,NationalFootballLeagueSeasons,NounPredicateFrame,range,domain,1,rdf:type,dbo:NationalFootballLeagueSeason,dbo:NationalFootballLeagueSeason
nerve_of,noun,Nerve,Nerves,NounPredicateFrame,range,domain,1,rdf:type,dbo:Nerve,dbo:Nerve
netballplayer_of,noun,Netball Player,Netball Players,NounPredicateFrame,range,domain,1,rdf:type,dbo:NetballPlayer,dbo:NetballPlayer
newspaper_of,noun,Newspaper,Newspapers,NounPredicateFrame,range,domain,1,rdf:type,dbo:Newspaper,dbo:Newspaper
noble_of,noun,Noble,Nobles,NounPredicateFrame,range,domain,1,rdf:type,dbo:Noble,dbo:Noble
olympicevent_of,noun,Olympic Event,Olympic Events,NounPredicateFrame,range,domain,1,rdf:type,dbo:OlympicEvent,dbo:OlympicEvent
olympics_of,noun,Olympics,Olympicss,NounPredicateFrame,range,domain,1,rdf:type,dbo:Olympics,dbo:Olympics
organization_of,noun,organization,organizations,NounPredicateFrame,range,domain,1,rdf:type,dbo:Organisation,dbo:Organisation
outbreak_of,noun,Outbreak,Outbreaks,NounPredicateFrame,range,domain,1,rdf:type,dbo:Outbreak,dbo:Outbreak
painter_of,noun,Painter,Painters,NounPredicateFrame,range,domain,1,rdf:type,dbo:Painter,dbo:Painter
park_of,noun,Park,Parks,NounPredicateFrame,range,domain,1,rdf:type,dbo:Park,dbo:Park
periodical literature_of,noun,periodical literature,periodical literatures,NounPredicateFrame,range,domain,1,rdf:type,dbo:PeriodicalLiterature,dbo:PeriodicalLiterature
person_of,noun,person,persons,NounPredicateFrame,range,domain,1,rdf:type,dbo:Person,dbo:Person
philosopher_of,noun,Philosopher,Philosophers,NounPredicateFrame,range,domain,1,rdf:type,dbo:Philosopher,dbo:Philosopher
photographer_of,noun,Photographer,Photographers,NounPredicateFrame,range,domain,1,rdf:type,dbo:Photographer,dbo:Photographer
place_of,noun,place,places,NounPredicateFrame,range,domain,1,rdf:type,dbo:Place,dbo:Place
plant_of,noun,plant,planets,NounPredicateFrame,range,domain,1,rdf:type,dbo:Planet,dbo:Planet
plant_of,noun,Plant,Plants,NounPredicateFrame,range,domain,1,rdf:type,dbo:Plant,dbo:Plant
play_of,noun,play,plays,NounPredicateFrame,range,domain,1,rdf:type,dbo:Play,dbo:Play
playboyplaymate_of,noun,Playboy Playmate,Playboy Playmates,NounPredicateFrame,range,domain,1,rdf:type,dbo:PlayboyPlaymate,dbo:PlayboyPlaymate
poem_of,noun,Poem,Poems,NounPredicateFrame,range,domain,1,rdf:type,dbo:Poem,dbo:Poem
poet_of,noun,Poet,Poets,NounPredicateFrame,range,domain,1,rdf:type,dbo:Poet,dbo:Poet
pokerplayer_of,noun,Poker Player,Poker Players,NounPredicateFrame,range,domain,1,rdf:type,dbo:PokerPlayer,dbo:PokerPlayer
politicalparty_of,noun,political Party,political Parties,NounPredicateFrame,range,domain,1,rdf:type,dbo:PoliticalParty,dbo:PoliticalParty
politician_of,noun,politician,politicians,NounPredicateFrame,range,domain,1,rdf:type,dbo:Politician,dbo:Politician
pope_of,noun,pope,popes,NounPredicateFrame,range,domain,1,rdf:type,dbo:Pope,dbo:Pope
populated place_of,noun,populated place,populated places,NounPredicateFrame,range,domain,1,rdf:type,dbo:PopulatedPlace,dbo:PopulatedPlace
powerstation_of,noun,Power Station,Power Stations,NounPredicateFrame,range,domain,1,rdf:type,dbo:PowerStation,dbo:PowerStation
presenter_of,noun,Presenter,Presenters,NounPredicateFrame,range,domain,1,rdf:type,dbo:Presenter,dbo:Presenter
president_of,noun,president,presidents,NounPredicateFrame,range,domain,1,rdf:type,dbo:President,dbo:President
priest_of,noun,Priest,Priests,NounPredicateFrame,range,domain,1,rdf:type,dbo:Priest,dbo:Priest
primeminister_of,noun,Prime Minister,Prime Ministers,NounPredicateFrame,range,domain,1,rdf:type,dbo:PrimeMinister,dbo:PrimeMinister
prison_of,noun,Prison,Prisons,NounPredicateFrame,range,domain,1,rdf:type,dbo:Prison,dbo:Prison
programming language_of,noun,programming language,programming languages,NounPredicateFrame,range,domain,1,rdf:type,dbo:ProgrammingLanguage,dbo:ProgrammingLanguage
protectedarea_of,noun,Protected Area,Protected Areas,NounPredicateFrame,range,domain,1,rdf:type,dbo:ProtectedArea,dbo:ProtectedArea
protein_of,noun,Protein,Proteins,NounPredicateFrame,range,domain,1,rdf:type,dbo:Protein,dbo:Protein
publictransitsystem_of,noun,Public Transit System,Public Transit Systems,NounPredicateFrame,range,domain,1,rdf:type,dbo:PublicTransitSystem,dbo:PublicTransitSystem
publisher_of,noun,publisher,publishers,NounPredicateFrame,range,domain,1,rdf:type,dbo:Publisher,dbo:Publisher
racecourse_of,noun,Racecourse,Racecourses,NounPredicateFrame,range,domain,1,rdf:type,dbo:Racecourse,dbo:Racecourse
racingdriver_of,noun,Racing Driver,Racing Drivers,NounPredicateFrame,range,domain,1,rdf:type,dbo:RacingDriver,dbo:RacingDriver
radiohost_of,noun,Radio Host,Radio Hosts,NounPredicateFrame,range,domain,1,rdf:type,dbo:RadioHost,dbo:RadioHost
radioprogram_of,noun,Radio Program,Radio Programs,NounPredicateFrame,range,domain,1,rdf:type,dbo:RadioProgram,dbo:RadioProgram
radiostation_of,noun,Radio Station,Radio Stations,NounPredicateFrame,range,domain,1,rdf:type,dbo:RadioStation,dbo:RadioStation
railwayline_of,noun,Railway Line,Railway Lines,NounPredicateFrame,range,domain,1,rdf:type,dbo:RailwayLine,dbo:RailwayLine
railwaystation_of,noun,Railway Station,Railway Stations,NounPredicateFrame,range,domain,1,rdf:type,dbo:RailwayStation,dbo:RailwayStation
railwaytunnel_of,noun,Railway Tunnel,Railway Tunnels ,NounPredicateFrame,range,domain,1,rdf:type,dbo:RailwayTunnel,dbo:RailwayTunnel
recordlabel_of,noun,RecordLabel,RecordLabels,NounPredicateFrame,range,domain,1,rdf:type,dbo:RecordLabel,dbo:RecordLabel
religious_of,noun,Religious,Religiouss,NounPredicateFrame,range,domain,1,rdf:type,dbo:Religious,dbo:Religious
religiousbuilding_of,noun,Religious Building,Religious Buildings,NounPredicateFrame,range,domain,1,rdf:type,dbo:ReligiousBuilding,dbo:ReligiousBuilding
reptile_of,noun,Reptile,Reptiles,NounPredicateFrame,range,domain,1,rdf:type,dbo:Reptile,dbo:Reptile
restaurant_of,noun,Restaurant,Restaurants,NounPredicateFrame,range,domain,1,rdf:type,dbo:Restaurant,dbo:Restaurant
river_of,noun,river,rivers,NounPredicateFrame,range,domain,1,rdf:type,dbo:River,dbo:River
road_of,noun,road,roads,NounPredicateFrame,range,domain,1,rdf:type,dbo:Road,dbo:Road
roadjunction_of,noun,Road Junction,Road Junctions,NounPredicateFrame,range,domain,1,rdf:type,dbo:RoadJunction,dbo:RoadJunction
roadtunnel_of,noun,Road Tunnel,Road Tunnels,NounPredicateFrame,range,domain,1,rdf:type,dbo:RoadTunnel,dbo:RoadTunnel
rocket_of,noun,Rocket,Rockets,NounPredicateFrame,range,domain,1,rdf:type,dbo:Rocket,dbo:Rocket
rollercoaster_of,noun,Roller Coaster,Roller Coasters,NounPredicateFrame,range,domain,1,rdf:type,dbo:RollerCoaster,dbo:RollerCoaster
route of transportation_of,noun,route of transportation,routes of transportation,NounPredicateFrame,range,domain,1,rdf:type,dbo:RouteOfTransportation,dbo:RouteOfTransportation
rower_of,noun,Rower,Rowers,NounPredicateFrame,range,domain,1,rdf:type,dbo:Rower,dbo:Rower
royalty_of,noun,Royalty,Royalties,NounPredicateFrame,range,domain,1,rdf:type,dbo:Royalty,dbo:Royalty
rugbyclub_of,noun,Rugby Club,Rugby Clubs,NounPredicateFrame,range,domain,1,rdf:type,dbo:RugbyClub,dbo:RugbyClub
rugbyleague_of,noun,Rugby League,Rugby Leagues,NounPredicateFrame,range,domain,1,rdf:type,dbo:RugbyLeague,dbo:RugbyLeague
rugbyplayer_of,noun,Rugby Player,Rugby Players,NounPredicateFrame,range,domain,1,rdf:type,dbo:RugbyPlayer,dbo:RugbyPlayer
saint_of,noun,Saint,Saints,NounPredicateFrame,range,domain,1,rdf:type,dbo:Saint,dbo:Saint
school_of,noun,School,Schools,NounPredicateFrame,range,domain,1,rdf:type,dbo:School,dbo:School
scientist_of,noun,scientist,scientists,NounPredicateFrame,range,domain,1,rdf:type,dbo:Scientist,dbo:Scientist
screenwriter_of,noun,Screen Writer,Screen Writers,NounPredicateFrame,range,domain,1,rdf:type,dbo:ScreenWriter,dbo:ScreenWriter
sea_of,noun,Sea,Seas,NounPredicateFrame,range,domain,1,rdf:type,dbo:Sea,dbo:Sea
senator_of,noun,Senator,Senators,NounPredicateFrame,range,domain,1,rdf:type,dbo:Senator,dbo:Senator
settlement_of,noun,settlement,settlements,NounPredicateFrame,range,domain,1,rdf:type,dbo:Settlement,dbo:Settlement
work_of,noun,work,works,NounPredicateFrame,range,domain,1,rdf:type,dbo:Ship,dbo:Ship
shoppingmall_of,noun,Shopping Mall,Shopping Malls,NounPredicateFrame,range,domain,1,rdf:type,dbo:ShoppingMall,dbo:ShoppingMall
person_of,noun,person,persons,NounPredicateFrame,range,domain,1,rdf:type,dbo:Single,dbo:Single
siteofspecialscientificinterest_of,noun,Site of Special Scientific Interest,Site of Special Scientific Interests,NounPredicateFrame,range,domain,1,rdf:type,dbo:SiteOfSpecialScientificInterest,dbo:SiteOfSpecialScientificInterest
skater_of,noun,Skater,Skaters,NounPredicateFrame,range,domain,1,rdf:type,dbo:Skater,dbo:Skater
skiarea_of,noun,Ski Area,Ski Areas,NounPredicateFrame,range,domain,1,rdf:type,dbo:SkiArea,dbo:SkiArea
skier_of,noun,Skier,Skiers,NounPredicateFrame,range,domain,1,rdf:type,dbo:Skier,dbo:Skier
snookerplayer_of,noun,Snooker Player,Snooker Players,NounPredicateFrame,range,domain,1,rdf:type,dbo:SnookerPlayer,dbo:SnookerPlayer
soapcharacter_of,noun,Soap Character,Soap Characters,NounPredicateFrame,range,domain,1,rdf:type,dbo:SoapCharacter,dbo:SoapCharacter
soccerclub_of,noun,Soccer Club,Soccer Clubs,NounPredicateFrame,range,domain,1,rdf:type,dbo:SoccerClub,dbo:SoccerClub
soccerclubseason_of,noun,Soccer Club Season,Soccer Club Seasons,NounPredicateFrame,range,domain,1,rdf:type,dbo:SoccerClubSeason,dbo:SoccerClubSeason
soccerleague_of,noun,Soccer League,Soccer Leagues,NounPredicateFrame,range,domain,1,rdf:type,dbo:SoccerLeague,dbo:SoccerLeague
soccermanager_of,noun,Soccer Manager,Soccer Managers,NounPredicateFrame,range,domain,1,rdf:type,dbo:SoccerManager,dbo:SoccerManager
soccerplayer_of,noun,Soccer Player,Soccer Players,NounPredicateFrame,range,domain,1,rdf:type,dbo:SoccerPlayer,dbo:SoccerPlayer
soccertournament_of,noun,SoccerTournament,SoccerTournaments,NounPredicateFrame,range,domain,1,rdf:type,dbo:SoccerTournament,dbo:SoccerTournament
software_of,noun,software,softwares,NounPredicateFrame,range,domain,1,rdf:type,dbo:Software,dbo:Software
solareclipse_of,noun,Solar Eclipse,Solar Eclipses,NounPredicateFrame,range,domain,1,rdf:type,dbo:SolarEclipse,dbo:SolarEclipse
song_of,noun,song,songs,NounPredicateFrame,range,domain,1,rdf:type,dbo:Song,dbo:Song
space mission_of,noun,space mission,Space missions,NounPredicateFrame,range,domain,1,rdf:type,dbo:SpaceMission,dbo:SpaceMission
spaceflight_of,noun,spaceflight,spaceflights,NounPredicateFrame,range,domain,1,rdf:type,dbo:SpaceStation,dbo:SpaceStation
species_of,noun,Species,Speciess,NounPredicateFrame,range,domain,1,rdf:type,dbo:Species,dbo:Species
speedwayrider_of,noun,Speedway Rider,Speedway Riders,NounPredicateFrame,range,domain,1,rdf:type,dbo:SpeedwayRider,dbo:SpeedwayRider
speedwayteam_of,noun,Speedway Team,Speedway Teams,NounPredicateFrame,range,domain,1,rdf:type,dbo:SpeedwayTeam,dbo:SpeedwayTeam
sport_of,noun,Sport,Sports,NounPredicateFrame,range,domain,1,rdf:type,dbo:Sport,dbo:Sport
sportsclub_of,noun,Sports Club,Sports Clubs,NounPredicateFrame,range,domain,1,rdf:type,dbo:SportsClub,dbo:SportsClub
sportsevent_of,noun,Sports Event,Sports Events,NounPredicateFrame,range,domain,1,rdf:type,dbo:SportsEvent,dbo:SportsEvent
sportsleague_of,noun,Sports League,Sports Leagues,NounPredicateFrame,range,domain,1,rdf:type,dbo:SportsLeague,dbo:SportsLeague
sports team_of,noun,sports team,sports teams,NounPredicateFrame,range,domain,1,rdf:type,dbo:SportsTeam,dbo:SportsTeam
sportsteammember_of,noun,Sports Team Member,Sports Team Members,NounPredicateFrame,range,domain,1,rdf:type,dbo:SportsTeamMember,dbo:SportsTeamMember
squashplayer_of,noun,SquashPlayer,SquashPlayers,NounPredicateFrame,range,domain,1,rdf:type,dbo:SquashPlayer,dbo:SquashPlayer
stadium_of,noun,stadium,stadiums,NounPredicateFrame,range,domain,1,rdf:type,dbo:Stadium,dbo:Stadium
star_of,noun,Star,Stars,NounPredicateFrame,range,domain,1,rdf:type,dbo:Star,dbo:Star
state_of,noun,state,states,NounPredicateFrame,range,domain,1,rdf:type,dbo:State,dbo:State
station_of,noun,Station,Stations,NounPredicateFrame,range,domain,1,rdf:type,dbo:Station,dbo:Station
stream_of,noun,stream,streams,NounPredicateFrame,range,domain,1,rdf:type,dbo:Stream,dbo:Stream
sumowrestler_of,noun,Sumo Wrestler,Sumo Wrestlers,NounPredicateFrame,range,domain,1,rdf:type,dbo:SumoWrestler,dbo:SumoWrestler
supremecourtoftheunitedstatescase_of,noun,Supreme Court of the United States Case,Supreme Court of the United States Cases,NounPredicateFrame,range,domain,1,rdf:type,dbo:SupremeCourtOfTheUnitedStatesCase,dbo:SupremeCourtOfTheUnitedStatesCase
surname_of,noun,Surname,Surnames,NounPredicateFrame,range,domain,1,rdf:type,dbo:Surname,dbo:Surname
swimmer_of,noun,swimmer,swimmers,NounPredicateFrame,range,domain,1,rdf:type,dbo:Swimmer,dbo:Swimmer
tabletennisplayer_of,noun,Table Tennis Player,Table Tennis Players,NounPredicateFrame,range,domain,1,rdf:type,dbo:TableTennisPlayer,dbo:TableTennisPlayer
televisionepisode_of,noun,Television Episode,Television Episodes,NounPredicateFrame,range,domain,1,rdf:type,dbo:TelevisionEpisode,dbo:TelevisionEpisode
televisionseason_of,noun,Television Season,Television Seasons,NounPredicateFrame,range,domain,1,rdf:type,dbo:TelevisionSeason,dbo:TelevisionSeason
television show_of,noun,television show,television shows,NounPredicateFrame,range,domain,1,rdf:type,dbo:TelevisionShow,dbo:TelevisionShow
televisionstation_of,noun,Television Station,Television Stations,NounPredicateFrame,range,domain,1,rdf:type,dbo:TelevisionStation,dbo:TelevisionStation
tennisplayer_of,noun,Tennis Player,Tennis Players,NounPredicateFrame,range,domain,1,rdf:type,dbo:TennisPlayer,dbo:TennisPlayer
tennistournament_of,noun,TennisTournament,TennisTournaments,NounPredicateFrame,range,domain,1,rdf:type,dbo:TennisTournament,dbo:TennisTournament
theatre_of,noun,Theatre,Theatres,NounPredicateFrame,range,domain,1,rdf:type,dbo:Theatre,dbo:Theatre
topleveldomain_of,noun,Top Level Domain,Top Level Domains,NounPredicateFrame,range,domain,1,rdf:type,dbo:TopLevelDomain,dbo:TopLevelDomain
tower_of,noun,tower,towers,NounPredicateFrame,range,domain,1,rdf:type,dbo:Tower,dbo:Tower
city_of,noun,city,cities,NounPredicateFrame,range,domain,1,rdf:type,dbo:Town,dbo:Town
tradeunion_of,noun,Trade Union,Trade Unions,NounPredicateFrame,range,domain,1,rdf:type,dbo:TradeUnion,dbo:TradeUnion
train_of,noun,Train,Trains,NounPredicateFrame,range,domain,1,rdf:type,dbo:Train,dbo:Train
tunnel_of,noun,Tunnel,Tunnels,NounPredicateFrame,range,domain,1,rdf:type,dbo:Tunnel,dbo:Tunnel
university_of,noun,University,Universitys,NounPredicateFrame,range,domain,1,rdf:type,dbo:University,dbo:University
vein_of,noun,Vein,Veins,NounPredicateFrame,range,domain,1,rdf:type,dbo:Vein,dbo:Vein
venue_of,noun,Venue,Venues,NounPredicateFrame,range,domain,1,rdf:type,dbo:Venue,dbo:Venue
video game_of,noun,video game,video games,NounPredicateFrame,range,domain,1,rdf:type,dbo:VideoGame,dbo:VideoGame
village_of,noun,Village,Villages,NounPredicateFrame,range,domain,1,rdf:type,dbo:Village,dbo:Village
voiceactor_of,noun,VoiceActor,VoiceActors,NounPredicateFrame,range,domain,1,rdf:type,dbo:VoiceActor,dbo:VoiceActor
volcano_of,noun,Volcano,Volcanos,NounPredicateFrame,range,domain,1,rdf:type,dbo:Volcano,dbo:Volcano
volleyballcoach_of,noun,Volleyball Coach,Volleyball Coachs,NounPredicateFrame,range,domain,1,rdf:type,dbo:VolleyballCoach,dbo:VolleyballCoach
volleyballleague_of,noun,Volleyball League,Volleyball Leagues,NounPredicateFrame,range,domain,1,rdf:type,dbo:VolleyballLeague,dbo:VolleyballLeague
player_of,noun,player,players,NounPredicateFrame,range,domain,1,rdf:type,dbo:VolleyballPlayer,dbo:VolleyballPlayer
weapon_of,noun,Weapon,Weapons,NounPredicateFrame,range,domain,1,rdf:type,dbo:Weapon,dbo:Weapon
website_of,noun,Website,Websites,NounPredicateFrame,range,domain,1,rdf:type,dbo:Website,dbo:Website
wine region_of,noun,wine region,wine regions,NounPredicateFrame,range,domain,1,rdf:type,dbo:WineRegion,dbo:WineRegion
winery_of,noun,Winery,Winerys,NounPredicateFrame,range,domain,1,rdf:type,dbo:Winery,dbo:Winery
womenstennisassociationtournament_of,noun,Womens Tennis Association Tournament,Womens Tennis Association Tournaments,NounPredicateFrame,range,domain,1,rdf:type,dbo:WomensTennisAssociationTournament,dbo:WomensTennisAssociationTournament
work_of,noun,work,works,NounPredicateFrame,range,domain,1,rdf:type,dbo:Work,dbo:Work
worldheritagesite_of,noun,World Heritage Site,World Heritage Sites,NounPredicateFrame,range,domain,1,rdf:type,dbo:WorldHeritageSite,dbo:WorldHeritageSite
wrestler_of,noun,Wrestler,Wrestlers,NounPredicateFrame,range,domain,1,rdf:type,dbo:Wrestler,dbo:Wrestler
wrestlingevent_of,noun,Wrestling Event,Wrestling Events,NounPredicateFrame,range,domain,1,rdf:type,dbo:WrestlingEvent,dbo:WrestlingEvent
writer_of,noun,writer,writers,NounPredicateFrame,range,domain,1,rdf:type,dbo:Writer,dbo:Writer
written work_of,noun,written work,written work,NounPredicateFrame,range,domain,1,rdf:type,dbo:WrittenWork,dbo:WrittenWork
year_of,noun,Year,Years,NounPredicateFrame,range,domain,1,rdf:type,dbo:Year,dbo:Year
