LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPerfect,SyntacticFrame,subject,directObject,sense,reference,domain,range,passivePreposition
atender,verb,atender,atiende,atendió,atendido,TransitiveFrame,range,domain,1,dbo:targetAirport,dbo:Airline,dbo:Airport,por
sirve,verb,sirve,sirve,sirvió,servía,TransitiveFrame,range,domain,1,dbo:targetAirport,dbo:Airline,dbo:Airport,por
