LemonEntry,partOfSpeech,writtenFormInfinitive,writtenFormThridPerson,writtenFormPast,writtenFormPerfect,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range
spielen,verb,spielen,spielt,spielte,gespielt,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person
sehen,verb,sehen,sieht,sah,gesehen,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person
gebären,verb,gebären,gebärt,gebar,geboren,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person
beginnen,verb,beginnen,beginnt,begann,begonnen,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person
arbeiten,verb,arbeiten,arbeitet,arbeitete,gearbeitet,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person
treten,verb,treten,tritt,trat,getreten,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person
sterben,verb,sterben,stirbt,starb,gestorben,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person
stehen,verb,stehen,steht,stand,gestanden,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person
studieren,verb,studieren,studiert,studierte,studiert,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person
leben,verb,leben,lebt,lebte,gelebt,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person
gelten,verb,gelten,gilt,galt,gegolten,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person
spielen,verb,spielen,spielt,spielte,gespielt,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place
spielen,verb,spielen,spielt,spielte,gespielt,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/deathDate,http://dbpedia.org/ontology/Person,xsd:date
spielen,verb,spielen,spielt,spielte,gespielt,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/City
sehen,verb,sehen,sieht,sah,gesehen,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place
gebären,verb,gebären,gebärt,gebar,geboren,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place
sterben,verb,sterben,stirbt,starb,gestorben,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/deathDate,http://dbpedia.org/ontology/Person,xsd:date
sterben,verb,sterben,stirbt,starb,gestorben,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/City
gebären,verb,gebären,gebärt,gebar,geboren,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/deathDate,http://dbpedia.org/ontology/Person,xsd:date
gebären,verb,gebären,gebärt,gebar,geboren,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/City
treten,verb,treten,tritt,trat,getreten,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place
beginnen,verb,beginnen,beginnt,begann,begonnen,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place
treten,verb,treten,tritt,trat,getreten,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/City
sterben,verb,sterben,stirbt,starb,gestorben,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place
treten,verb,treten,tritt,trat,getreten,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/deathDate,http://dbpedia.org/ontology/Person,xsd:date
gelten,verb,gelten,gilt,galt,gegolten,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/deathDate,http://dbpedia.org/ontology/Person,xsd:date
sehen,verb,sehen,sieht,sah,gesehen,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/deathDate,http://dbpedia.org/ontology/Person,xsd:date
sehen,verb,sehen,sieht,sah,gesehen,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/City
studieren,verb,studieren,studiert,studierte,studiert,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place
arbeiten,verb,arbeiten,arbeitet,arbeitete,gearbeitet,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place
arbeiten,verb,arbeiten,arbeitet,arbeitete,gearbeitet,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/deathDate,http://dbpedia.org/ontology/Person,xsd:date
