lexicalEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPerfect,SyntacticFrame,subject,directObject,sense,reference,domain,range,passivePreposition,QALD
Develop_1,verb,develop,develops,developed,developed,TransitiveFrame,domain,range,1,dbo:product,dbo:Company,dbo:Software,by,Qald9-training
Develop_2,verb,develop,develops,developed,developed,TransitiveFrame,range,domain,2,dbo:developer,dbo:VideoGame,dbo:Agent,by,Qald9-training
direct_2,verb,direct,directs,directed,directed,TransitiveFrame,range,domain,1,dbo:director,dbo:Software,dbo:Person,by,Qald9-training
paint_1,verb,paint,paints,painted,painted,TransitiveFrame,range,domain,1,dbp:artist,dbo:Work,dbo:Person,by,Qald9-training
paint_2,verb,paint,paints,painted,painted,TransitiveFrame,range,domain,2,dbo:artist,dbo:Work,dbo:Person,by,Qald9-training
exhibit,verb,exhibit,exhibits,exhibited,exhibited,TransitiveFrame,range,domain,1,dbo:museum,dbo:Artwork,dbo: Museum,by,Qald9-training
discover_1,verb,discover,discovers,discovered,discovered,TransitiveFrame,range,domain,1,dbo:discoverer,dbo:Planet,dbo:Person,by,Qald9-training
cross,verb,cross,crosses,crossed,crossed,TransitiveFrame,domain,range,1,dbo:crosses,dbo:Bridge,dbo:River,by,Qald9-training
win_1,verb,win,wins,won,won,TransitiveFrame,range,domain,1,dbo:award,dbo:Scientist,dbo:Award,by,Qald9-training
create_1,verb,create,creates,created,created,TransitiveFrame,range,domain,1,dbo:creator,dbo:TelevisionShow,dbo:Agent,by,Qald9-training
create_2,verb,create,creates,created,created,TransitiveFrame,range,domain,1,dbo:author,dbo:Website,dbo:Person,by,Qald9-training
create_3,verb,create,creates,created,created,TransitiveFrame,range,domain,1,dbo:notableWork,dbo:Work,dbo:Person,by,Qald9-training
starr_in_1,verb,starring in,starring in,starred in,starred_in,TransitiveFrame,range,domain,5,dbo:starring,dbo:Film,dbo:Person,by,Qald9-training
star_3,verb,star,stars,starred,starred,TransitiveFrame,range,domain,1,dbo:starring,dbo:Work,dbo:Actor,by,Qald9-training
play_1,verb,play,playes,played,played,TransitiveFrame,range,domain,1,dbp:portrayer,dbo:FictionalCharacter,dbo:Person,by,Qald9-training
play_2,verb,play,plays,played,played,TransitiveFrame,range,domain,2,dbo:portrayer,dbo:Work,dbo:Actor,by,Qald9-training
Play_3,verb,play,playes,played,played,TransitiveFrame,range,domain,1,dbo:starring,dbo:Film,dbo:Person,by,Qald9-training
publish_1,verb,publish,publishes,published,published,TransitiveFrame,range,domain,1,dbo:publisher,dbo:Book,dbo:Publisher,by,Qald9-training
publish_2,verb,publish,publishes,published,published,TransitiveFrame,range,domain,2,dbo:publisher,dbo:Publisher,dbo:Agent,by,Qald9-training
Publish_3,verb,publish,publishes,published,published,TransitiveFrame,range,domain,2,dbo:publisher,dbo:VideoGame,dbo:Company,by,Qald9-training
publish_4,verb,publish,publishes,published,published,TransitiveFrame,range,domain,4,dbp:publisher,dbo:Work,dbo:Agent,by,Qald9-training
direct_1,verb,direct,directs,directed,directed,TransitiveFrame,range,domain,1,dbo:director,dbo:Film,dbo:Person,by,Qald9-training
serve_1,verb,serve,serves,served,served,TransitiveFrame,range,domain,1,dbo:targetAirport,dbo:Airline,dbo:Airport,by,Qald9-training
design_1,verb,design,designs,designed,designed,TransitiveFrame,range,domain,1,dbo:architect,dbo:ArchitecturalStructure,dbo:Architect,by,Qald9-training
design_2,verb,design,designs,designed,designed,TransitiveFrame,range,domain,2,dbo:designer,dbo:Building,dbo:Person,by,Qald9-training
cost_1,verb,cost,costs,costed,costed,TransitiveFrame,range,domain,1,dbo:budget,dbo:Film,xsd:double,by,Qald9-training
write_1,verb,write,writes,wrote,written,TransitiveFrame,range,domain,1,dbo:writer,dbo:Song,dbo:Person,by,Qald9-training
Write_2,verb,write,writes,wrote,wrote,TransitiveFrame,range,domain,2,dbp:writer,dbo:Work,dbo:Person,by,Qald9-training
Write_3,verb,write,writes,wrote,written,TransitiveFrame,range,domain,3,dbo:composer,dbo:TelevisionShow,dbo:Person,by,Qald9-training
Write_4,verb,write,writes,wrote,written,TransitiveFrame,range,domain,4,dbo:author,dbo:Book,dbo:Person,by,Qald9-training
Write_5,verb,write,writes,wrote,wrote,TransitiveFrame,range,domain,5,dbp:allLyrics,dbo:Album,dbo:Person,by,Qald9-training
Write_6,verb,write,writes,wrote,wrote,TransitiveFrame,range,domain,6,dbp:editor,dbo:Work,dbo:Person,by,Qald9-training
express,verb,express,expresses,expressed,expressed,TransitiveFrame,domain,range,1,dbo:connotation,dbo:Colour,owl:Thing,by,Qald9-training
call_1,verb,call,calls,called,called,TransitiveFrame,range,domain,1,dbp:nickname,dbo:Person,xsd:String,by,Qald9-training
found_1,verb,found,found,founded,founded,TransitiveFrame,range,domain,1,dbo:foundedBy,dbo:Organisation,dbo:Pope,by,Qald9-training
found_2,verb,found,founds,founded,founded,TransitiveFrame,range,domain,2,dbp:founder,dbo:Organisation,dbo:Person,by,Qald9-training
inspire_1,verb,inspire,inspires,inspired,inspired,TransitiveFrame,range,domain,1,dbo:influenced,dbo:Person,dbo:Person,by,Qald9-training
marry_1,verb,marry,marries,married,married,TransitiveFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,to,Qald9-training
produce_1,verb,produce,produces,produced,produced,TransitiveFrame,domain,range,1,dbo:product,dbo:Company,dbo:Ship,by,Qald9-training
produce_2,verb,produce,produces,produced,produced,TransitiveFrame,range,domain,1,dbo:producer,dbo:Film,dbo:Person,by,Qald9-training
produce_3,verb,produce,produces,produced,produced,TransitiveFrame,range,domain,3,dbo:executiveProducer,dbo:TelevisionShow,dbo:Person,by,Qald9-training
produce_4,verb,produce,produces,produced,produced,TransitiveFrame,range,domain,3,dbo:manufacturer,dbo:Beverage,dbo:Organisation,by,Qald9-training
produce_5,verb,produce,produce,produced,produced,TransitiveFrame,domain,range,1,dbo:director,dbo:Film,dbo:Person,by,Qald9-training
compose_2,verb,compose,composes,composed,composed,TransitiveFrame,range,domain,1,dbo:musicComposer,dbo:Work,dbo:Person,by,Qald9-training
operate_1,verb,operate,operates,operated,operated,TransitiveFrame,range,domain,1,dbo:operator,dbo:Organisation,dbo:LaunchPad,by,Qald9-training
operate_2,verb,operate,operates,operated,operated,TransitiveFrame,range,domain,1,dbp:operator,dbo:Airport,dbo:Organisation,by,Qald9-training
present_1,verb,present,presents,presented,presented,TransitiveFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person,by,Qald9-training
perform_1,verb,perform,performs,performed,performed,TransitiveFrame,range,domain,1,dbo:artist,dbo:MusicalWork,dbo:Agent,by,Qald9-training
succeed_1,verb,succeed,succeeds,succeeded,succeeded,TransitiveFrame,range,domain,1,dbo:successor,dbo:Person,dbo:Person,by,Qald9-training
distribute_1,verb,distribute,distributes,distributed,distributed,TransitiveFrame,range,domain,1,dbo:distributor,dbo:TelevisionShow,dbo:Organisation,by,Qald9-training
air_1,verb,air,airs,aired,aired,TransitiveFrame,range,domain,1,dbo:network,dbo:Film,dbo:Broadcaster,by,Qald9-training
precede_1,verb,precede,precedes,preceded,preceded,TransitiveFrame,range,domain,1,dbp:prevTitle,dbo:Album,dbo:Album,by,Qald9-training
precede_2,verb,precede,precedes,preceded,preceded,TransitiveFrame,range,domain,2,dbo:previousWork,dbo:Work,dbo:Work,by,Qald9-training
precede_3,verb,precede,precedes,preceded,preceded,TransitiveFrame,range,domain,3,dbp:after,dbo:Politician,dbo:Politician,by,Qald9-training
precede_4,verb,precede,precedes,preceded,preceded,TransitiveFrame,range,domain,4,dbp:predecessor,dbo:Politician,dbo:Politician,by,Qald9-training
own_1,verb,own,owns,owned,owned,TransitiveFrame,range,domain,1,dbo:owner,dbo:Airport,dbo:Agent,by,Qald9-training
