lemon,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,QALD
deathPlace,noun,death place,-,of,NounPPFrame,range,domain,1,dbo:deathPlace,dbo:Politician,dbo:Place,Qald9-training
father_of,noun,father,-,of,NounPPFrame,range,domain,1,dbp:father,dbo:Royalty,dbo:Person,Qald9-training
producer-of,noun,producer,producers,of,NounPPFrame,range,domain,1,dbo:producer,dbo:Film,dbo:Company,Qald9-training
foundationPlace_of,noun,foundation place,-,of,NounPPFrame,range,domain,1,dbo:foundationPlace,dbo:Company,dbo:City,Qald9-training
influencer_of,noun,influencer,influencers,of,NounPPFrame,range,domain,1,dbo:influenced,dbo:Person,dbo:Person,Qald9-training
doctoralSupervisor_of,noun,doctoral supervisor,doctoral supervisors,of,NounPPFrame,range,domain,1,dbo:doctoralAdvisor,dbo:Scientist,dbo:Person,Qald9-training
residence-of,noun,residence,residences,of,NounPPFrame,range,domain,1,dbo:residence,dbo:Place,dbo:Person,Qald9-training
son_of,noun,son,sons,of,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,Qald9-training
headquarter_of,noun,headquarter,-,of,NounPPFrame,range,domain,1,dbo:headquarter,dbo:Organisation,dbo:PopulatedPlace,Qald9-training
founder-of_1,noun,founder,founders,of,NounPPFrame,range,domain,1,dbo:founder,dbo:Publisher,dbo:Agent,Qald9-training
founder-of_2,noun,founder,founders,of,NounPPFrame,range,domain,1,dbo:foundedBy,dbo:Organisation,dbo:Pope,Qald9-training
autobiography-of,noun,autobiography,-,of,NounPPFrame,range,domain,1,dbo:literaryGenre,dbo:Autobiography,dbo:Author,Qald9-training
parent-of,noun,parent,parents,of,NounPPFrame,range,domain,1,dbo:parent,dbo:Person,dbo:Person,Qald9-training
author_of,noun,author,authors,of,NounPPFrame,range,domain,1,dbo:author,dbo:Work,dbo:Person,Qald9-training
foundation_series_of,noun,foundation series,foundation series,of,NounPPFrame,range,domain,1,dbo:series,dbo:TelevisionShow,dbo:Person,Qald9-training
city-of,noun,city,cities,of,NounPPFrame,range,domain,1,dbo:isPartOf,dbo:AdministrativeRegion,dbo:City,Qald9-training
founder_of,noun,founder,founders,of,NounPPFrame,range,domain,1,dbo:foundedBy,dbo:BroadcastNetwork,dbo:Company,Qald9-training
wine_production-of,noun,wine production,wine productions,of,NounPPFrame,range,domain,1,dbo:wineProduced,dbo:Company,dbo:Location,Qald9-training
residence_of,noun,residence,residences,of,NounPPFrame,range,domain,1,dbo:residence,dbo:Person,dbo:City,Qald9-training
resting_place_of,noun,resting place,resting places,of,NounPPFrame,range,domain,1,dbo:restingPlace,dbo:Person,dbo:Country,Qald9-training
composer-of,noun,music composer,music composers,of,NounPPFrame,range,domain,1,dbo:composer,dbo:TelevisionShow,dbo:Person,Qald9-training
timeZone-of,noun,time zone,time zones,of,NounPPFrame,range,domain,1,dbo:timeZone,dbo:City/dbo:Town,xsd:string,Qald9-training
borough-of,noun,borough,borough,of,NounPPFrame,domain,range,1,dbo:governmentType,dbo:Town,owl:Thing,Qald9-training
membership-of,noun,member,members,of,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Band,dbo:MusicalArtist,Qald9-training
Book-in,noun,book,books,in,NounPPFrame,domain,range,1,dbo:series,dbo:Book,dbo:TelevisionShow,Qald9-training
book_by,noun,book,books,by,NounPPFrame,domain,range,1,dbo:author,dbo:Book,dbo:Writer,Qald9-training
king-of,noun,king,kings,of,NounPPFrame,range,domain,1,dbo:leader,dbo:Legislature/dbo:Place,dbo:Person,Qald9-training
successor_of,noun,successor,-,of,NounPPFrame,range,domain,1,dbo:successor,dbo:Politician,dbo:Person,Qald9-training
game_by,noun,game,games,by,NounPPFrame,domain,range,1,dbo:publisher,dbo:VideoGame,dbo:Company/dbo:Publisher,Qald9-training
headquarter_of,noun,headquarter,-,of,NounPPFrame,range,domain,1,dbo:location,dbo:Building,dbo:City,Qald9-training
daughter_of,noun,daughter,daughters,of,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,Qald9-training
coach_of,noun,coach,coaches,of,NounPPFrame,range,domain,1,dbo:coach,dbo:HockeyTeam,dbo:Person,Qald9-training
team_of,noun,team,teams,of,NounPPFrame,domain,range,1,dbo:league,dbo:HockeyTeam,dbo:IceHockeyLeague,Qald9-training
home_stadium_of,noun,home stadium,home stadiums,of,NounPPFrame,range,domain,1,dbo:ground,dbo:SportsClub,dbo:Stadium,Qald9-training
address-of,noun,address,addresses,of,NounPPFrame,range,domain,1,dbo:address,dbo:ArchitecturalStructure,xsd:string,Qald9-training
album-of,noun,album,albums,of,NounPPFrame,range,domain,1,dbo:album,dbo:Song,dbo:Album,Qald9-training
associatedMusicalArtist-of,noun,associated Musical Artist,associated Musical Artists,of,NounPPFrame,range,domain,1,dbo:associatedMusicalArtist,dbo:Band,dbo:Place,Qald9-training
citizenship-of,noun,nationality,-,of,NounPPFrame,range,domain,1,dbo:citizenship,dbo:Person,dbo:Country,Qald9-training
closingDate-of,noun,closing Date,closing Dates,of,NounPPFrame,range,domain,1,dbo:closingDate,dbo:Company,xsd:date,Qald9-training
deliveryDate-of,noun,delivery Date,delivery Dates,of,NounPPFrame,range,domain,1,dbo:deliveryDate,dbo:MeanOfTransportation,xsd:date,Qald9-training
diameter-of,noun,diameter,diameters,of,NounPPFrame,range,domain,1,dbo:diameter,dbo:Device,xsd:double,Qald9-training
employer-of,noun,employer,employers,of,NounPPFrame,range,domain,1,dbo:employer,dbo:Person,dbo:Place,Qald9-training
isbn-of,noun,isbn,isbns,of,NounPPFrame,range,domain,1,dbo:isbn,dbo:Book,xsd:string,Qald9-training
firstAirDate-of,noun,first Air Date,first Air Dates,of,NounPPFrame,range,domain,1,dbo:firstAirDate,dbo:TelevisionSeason,xsd:date,Qald9-training
firstAscentPerson-of,noun,first Ascent Person,first Ascent Persons,of,NounPPFrame,range,domain,1,dbo:firstAscentPerson,dbo:Mountain,dbo:Place,Qald9-training
flag-of,noun,flag,flags,of,NounPPFrame,range,domain,1,dbo:flag,dbo:Place,xsd:string,Qald9-training
governor-of,noun,governor,governors,of,NounPPFrame,range,domain,1,dbo:governor,dbo:Person,dbo:Person,Qald9-training
lastElectionDate-of,noun,last Election Date,last Election Dates,of,NounPPFrame,range,domain,1,dbo:lastElectionDate,dbo:Organisation,xsd:date,Qald9-training
minimumTemperature-of,noun,minimum Temperature,minimum Temperatures,of,NounPPFrame,range,domain,1,dbo:minimumTemperature,dbo:Planet,xsd:double,Qald9-training
numberOfSeasons-of,noun,number Of Season,number Of Seasons,of,NounPPFrame,range,domain,1,dbo:numberOfSeasons,dbo:TelevisionShow,xsd:nonNegativeInteger,Qald9-training
numberOfStudents-of,noun,number Of Student,number Of Students,of,NounPPFrame,range,domain,1,dbo:numberOfStudents,dbo:School,xsd:nonNegativeInteger,Qald9-training
openingDate-of,noun,opening Date,opening Dates,of,NounPPFrame,range,domain,1,dbo:openingDate,dbo:ArchitecturalStructure,xsd:date,Qald9-training
postCode-of,noun,post code,-,of,NounPPFrame,range,domain,1,dbo:postalCode,dbo:Place,xsd:nonNegativeInteger,Qald9-training
releaseDate-of,noun,release date,-,of,NounPPFrame,range,domain,1,dbo:releaseDate,dbo:Software,xsd:date,Qald9-training
religion-of,noun,religion,-,of,NounPPFrame,range,domain,1,dbo:religion,dbo:Person,xsd:string,Qald9-training
boardgame_by_1,noun,boardgame,boardgames,by,NounPPFrame,domain,range,1,dbo:publisher,dbo:Work,dbo:Agent,Qald9-training
owner_of_1,noun,owner,owners,of,NounPPFrame,range,domain,1,dbo:owner,dbo:Company,dbo:Person,Qald9-training
astronaut_of,noun,astronaut,astronauts,of,NounPPFrame,range,domain,1,dbo:mission,dbo:Person,dbo:SpaceMission,Qald9-training
president_of,noun,president,presidents,of,NounPPFrame,range,domain,1,dbo:leader,dbo:Country,dbo:Person,Qald9-training
mission-of,noun,mission,missions,of,NounPPFrame,range,domain,1,dbo:programme,dbo:Event,dbo:TelevisionShow,Qald9-training
net-income-of,noun,net income,net incomes,of,NounPPFrame,range,domain,1,dbo:netIncome,dbo:Company,xsd:string,Qald9-training
employee-of,noun,employee,employees,of,NounPPFrame,range,domain,1,dbo:numberOfEmployees,dbo:Company,xsd:string,Qald9-training
museum_in,noun,museum,museums,in,NounPPFrame,domain,range,1,dbo:location,dbo:Building,dbo:City,Qald9-training
official_color_of,noun,official color,official colors,of,NounPPFrame,range,domain,1,dbo:officialSchoolColour,dbo:Agent,xsd:string,Qald9-training
governor_of,noun,governor,governors,of,NounPPFrame,range,domain,1,dbp:governor,dbo:Place,dbo:Person,Qald9-training
architect_of_1,noun,architect,architects,of,NounPPFrame,range,domain,1,dbo:architect,dbo:ArchitecturalStructure,dbo:Person,Qald9-training
President-of_1,noun,president,presidents,of,NounPPFrame,range,domain,1,dbp:title,dbo:Work,dbo:Person,Qald9-training
President-of_2,noun,president,presidents,of,NounPPFrame,range,domain,1,dbo:leader,dbo:Organisation,dbo:Person,Qald9-training
President-of_3,noun,president,presidents,of,NounPPFrame,range,domain,1,dbo:leaderTitle,dbo:Place,dbo:Person,Qald9-training
museums-in,noun,museum,museums,in,NounPPFrame,range,domain,1,dbo:location,dbo:Organisation,dbo:Settlement,Qald9-training
federal-chancellor-of,noun,federal chancellor,federal chancellors,of,NounPPFrame,range,domain,1,dbp:office,dbo:Agent,dbo:City,Qald9-training
employee-of,noun,employee,employees,of,NounPPFrame,range,domain,1,dbo:numberOfEmployees,dbo:Company,xsd:nonNegativeInteger,Qald9-training
TV-show-with,noun,TV show,TV show,with,NounPPFrame,range,domain,1,dbo:starring,dbo:Company,dbo:Actor,Qald9-training
music-by,noun,music,musics,by,NounPPFrame,range,domain,1,dbo:musicBy,dbo:TelevisionShow,dbo:Person,Qald9-training
industry-of,noun,industry,industries,of,NounPPFrame,range,domain,1,dbo:industry,dbo:Agent,dbo:Food,Qald9-training
total-amount-of-employee-of,noun,total amount of employee,total amount of employee,of,NounPPFrame,range,domain,1,dbo:employees,dbo:Event,dbo:Agent,Qald9-training
part-of,noun,part,parts,of,NounPPFrame,domain,range,1,dbo:alliance,dbo:Agent,dbo:PoliticalParty,Qald9-training
member-of,noun,member,members,of,NounPPFrame,range,domain,1,dbo:alliance,dbo:Agent,dbo:Company,Qald9-training
residence-of,noun,residence,residences,of,NounPPFrame,range,domain,1,dbp:residence,dbo:Agent,dbo:Country,Qald9-training
birthday-of,noun,birthday,birthdays,of,NounPPFrame,range,domain,1,dbo:birthDate,dbo:Agent,xsd:string,Qald9-training
organization-of,noun,organization,organizations,of,NounPPFrame,range,domain,1,dbp:industry,dbo:Agent,dbo:Food,Qald9-training
manager-of,noun,manager,managers,of,NounPPFrame,range,domain,1,dbo:manager,dbo:Agent,dbo:SoccerManager,Qald9-training
birth-name-of,noun,birth name,birth names,of,NounPPFrame,range,domain,1,dbp:birthName,dbo:Person,xsd:string,Qald9-training
ruling-party-in,noun,ruling party,ruling parties,in,NounPPFrame,range,domain,1,dbp:leaderParty,dbo:Place,dbo:Agent,Qald9-training
episode-of,noun,episode,episodes,in,NounPPFrame,range,domain,1,dbo:series,dbo:TelevisionEpisode,dbo:Work,Qald9-training
instrument-of,noun,instrument,instruments,in,NounPPFrame,range,domain,1,dbo:instrument,dbo:Agent,dbo:MusicalArtist,Qald9-training
movie-with,noun,movie,movies,with,NounPPFrame,range,domain,1,dbo:starring,dbo:Company,dbo:Actor,Qald9-training
B-sides of,noun,B-side,B-sides,of,NounPPFrame,range,domain,1,dbo:bSide,dbo:MusicalWork,dbo:CreativeWork,Qald9-training
speciality-of,noun,speciality,specialities,of,NounPPFrame,range,domain,1,dbo:title,dbo:Person,xsd:string,Qald9-training
king-of,noun,king,kings,of,NounPPFrame,range,domain,1,dbp:title,dbo:Agent,dbo:City,Qald9-training
breweries-in,noun,brewery,breweries,of,NounPPFrame,range,domain,1,dbo:location,dbo:Place,dbo:Place,Qald9-training
areaTotal-of,noun,alma mater,alma maters,of,NounPPFrame,range,domain,1,dbo:areaTotal,dbo:Place,xsd:double,Qald9-training
