lexicalEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPerfect,SyntacticFrame,subject,directObject,sense,reference,domain,range,passivePreposition,QALD
win,verb,win,won,won,won,TransitiveFrame,range,domain,1,dbo:goldMedalist,dbo:Event,dbo:Person,by,Qald9-test
adopted,verb,adopt,adopts,adopted,adopted,TransitiveFrame,range,domain,1,dbo:currency,dbo:Country,dbo:Currency,by,Qald9-test
publish,verb,publish,publishes,published,published,TransitiveFrame,range,domain,1,dbo:publisher,dbo:Work,dbo:Agent,by,Qald9-test
married_to,verb,marry to,marries to,married to,married to,TransitiveFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,by,Qald9-test
admitted,verb,admitt,admittes,admitted,admitted,TransitiveFrame,range,domain,1,dbp:admittancedate,dbo:Settlement,xsd:date,by,Qald9-test
paint,verb,paint,paints,painted,painted,TransitiveFrame,range,domain,1,dbo:author,dbo:Book,dbo:Writer,by,Qald9-test
join,verb,join,joins,joined,joined,TransitiveFrame,range,domain,1,dbp:accessioneudate,dbo:Country,xsd:date,by,Qald9-test
win,verb,win,wins,won,won,TransitiveFrame,range,domain,1,dbo:award,dbo:Scientist,dbo:Award,by,Qald9-test
write,verb,write,writes,wrote,wrote,TransitiveFrame,range,domain,1,dbp:author,dbo:Work,dbo:Person,by,Qald9-test
graduated from,verb,graduate from,graduates from,graduated from,graduated from,TransitiveFrame,range,domain,1,dbo:almaMater,dbo:Person,dbo:EducationalInstitution,by,Qald9-test
manufacture_1,verb,manufacture,manufactures,of,-,TransitiveFrame,range,domain,1,dbo:productionStartYear,dbo:Company,xsd:gYear,by,Qald9-test
manufacture_2,verb,manufacture,manufactures,of,-,TransitiveFrame,range,domain,1,dbo:productionEndYear,dbo:Company,xsd:gYear,by,Qald9-test
shot,verb,shot,shots,shot,shot,TransitiveFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date,by,Qald9-test
write,verb,write,writes,wrote,wrote,TransitiveFrame,range,domain,1,dbo:author,dbo:Book,dbo:Writer,by,Qald9-test
create,verb,create,creates,created,created,TransitiveFrame,range,domain,1,dbo:author,dbo:Book,dbo:Writer,by,Qald9-test
own,verb,own,owns,owned,owned,TransitiveFrame,range,domain,1,dbp:founders,dbo:Company,xsd:string,by,Qald9-test
influence,verb,influence,influences,influenced,influenced,TransitiveFrame,range,domain,1,dbo:influencedBy,dbo:Person,dbo:Person,by,Qald9-test
connect,verb,connect,connects,connected,connected,TransitiveFrame,range,domain,1,dbo:country,dbo:Mountain,dbo:Country,by,Qald9-test
connect,verb,connect,connects,connected,connected,TransitiveFrame,range,domain,1,dbp:country,dbo:River,dbo:Country,by,Qald9-test
marry,verb,marry,marries,married,married,TransitiveFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,by,Qald9-test
serve,verb,serve,serves,served,served,TransitiveFrame,range,domain,1,dbo:targetAirport,dbo:Airline,dbo:Airport,by,Qald9-test
call,verb,call,calls,called,called,TransitiveFrame,range,domain,1,dbo:alias,dbo:Person,xsd:String,by,Qald9-test
proclaim,verb,proclaim,proclaims,proclaimed,proclaimed,TransitiveFrame,range,domain,1,dbo:foundingDate,dbo:Organisation,xsd:date,by,Qald9-test
direct,verb,direct,directs,directed,directed,TransitiveFrame,range,domain,1,dbo:director,dbo:Film,dbo:Person,by,Qald9-test
play,verb,play,plays,played,played,TransitiveFrame,range,domain,1,dbo:instrument,dbo:Person,dbo:MusicalArtist,by,Qald9-test
become,verb,become,becomes,became,become,TransitiveFrame,range,domain,1,dbp:presidentStart,owl:Thing,xsd:date,by,Qald9-test
