lemon,partOfSpeech,writtenForm (singular),writtenForm (plural),SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range
academic journal_of,noun,academic journal,academic journals,NounPPFrame,range,domain,1,rdf:type,dbo:AcademicJournal,dbo:AcademicJournal
actor_of,noun,actor,actors,NounPPFrame,range,domain,1,rdf:type,dbo:Actor,dbo:Actor
administrative_region_of,noun,administrative region,administrative regions,NounPPFrame,range,domain,1,rdf:type,dbo:AdministrativeRegion,dbo:AdministrativeRegion
adultactor_of,noun,Adult Actor,Adult Actors,NounPPFrame,range,domain,1,rdf:type,dbo:AdultActor,dbo:AdultActor
agent_of,noun,agent,agents,NounPPFrame,range,domain,1,rdf:type,dbo:Agent,dbo:Agent
aircraft_of,noun,Aircraft,Aircrafts,NounPPFrame,range,domain,1,rdf:type,dbo:Aircraft,dbo:Aircraft
airline_of,noun,airline,airlines,NounPPFrame,range,domain,1,rdf:type,dbo:Airline,dbo:Airline
airport_of,noun,airport,airports,NounPPFrame,range,domain,1,rdf:type,dbo:Airport,dbo:Airport
album_of,noun,album,albums,NounPPFrame,range,domain,1,rdf:type,dbo:Album,dbo:Album
amateurboxer_of,noun,Amateur Boxer,Amateur Boxers,NounPPFrame,range,domain,1,rdf:type,dbo:AmateurBoxer,dbo:AmateurBoxer
ambassador_of,noun,Ambassador,Ambassadors,NounPPFrame,range,domain,1,rdf:type,dbo:Ambassador,dbo:Ambassador
americanfootballleague_of,noun,American Football League,American Football Leagues,NounPPFrame,range,domain,1,rdf:type,dbo:AmericanFootballLeague,dbo:AmericanFootballLeague
american football player_of,noun,american football player,american football players,NounPPFrame,range,domain,1,rdf:type,dbo:AmericanFootballPlayer,dbo:AmericanFootballPlayer
amphibian_of,noun,Amphibian,Amphibians,NounPPFrame,range,domain,1,rdf:type,dbo:Amphibian,dbo:Amphibian
amusementparkattraction_of,noun,Amusement Park Attraction,Amusement Park Attractions,NounPPFrame,range,domain,1,rdf:type,dbo:AmusementParkAttraction,dbo:AmusementParkAttraction
anatomicalstructure_of,noun,Anatomical Structure,Anatomical Structures,NounPPFrame,range,domain,1,rdf:type,dbo:AnatomicalStructure,dbo:AnatomicalStructure
animal_of,noun,animal,animals,NounPPFrame,range,domain,1,rdf:type,dbo:Animal,dbo:Animal
anime_of,noun,Anime,Animes,NounPPFrame,range,domain,1,rdf:type,dbo:Anime,dbo:Anime
arachnid_of,noun,Arachnid,Arachnids,NounPPFrame,range,domain,1,rdf:type,dbo:Arachnid,dbo:Arachnid
archaea_of,noun,Archaea,Archaeas,NounPPFrame,range,domain,1,rdf:type,dbo:Archaea,dbo:Archaea
archbishop_of,noun,Archbishop,Archbishops,NounPPFrame,range,domain,1,rdf:type,dbo:Archbishop,dbo:Archbishop
architect_of,noun,architect,architects,NounPPFrame,range,domain,1,rdf:type,dbo:Architect,dbo:Architect
