LemonEntry,partOfSpeech,writtenForm,comparative,superlative_singular,superlative_plural,SyntacticFrame,predFrame,sense,reference,oils:boundTo,oils:degree,domain,range,preposition
spanisch,adjective,spanisch,spanischeren,spanischstes,spanischsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
bekannt,adjective,bekannt,bekannteren,bekanntestes,bekanntesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
russisch,adjective,russisch,russischeren,russischstes,russischsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/deathPlace,oils:high,dbo:Person,dbo:Person,in
verschieden,adjective,verschieden,verschiedneren,verschiedenstes,verschiedensten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
russisch,adjective,russisch,russischeren,russischstes,russischsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/deathDate,oils:high,dbo:Person,dbo:Person,in
langjährig,adjective,langjährig,langjährigeren,langjährigstes,langjährigsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/deathDate,oils:high,dbo:Person,dbo:Person,in
zahlreich,adjective,zahlreich,zahlreicheren,zahlreichstes,zahlreichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
früh,adjective,früh,früheren,frühestes,frühesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/deathDate,oils:high,dbo:Person,dbo:Person,in
zahlreich,adjective,zahlreich,zahlreicheren,zahlreichstes,zahlreichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/deathDate,oils:high,dbo:Person,dbo:Person,in
zahlreich,adjective,zahlreich,zahlreicheren,zahlreichstes,zahlreichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/deathPlace,oils:high,dbo:Person,dbo:Person,in
bekannt,adjective,bekannt,bekannteren,bekanntestes,bekanntesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/deathDate,oils:high,dbo:Person,dbo:Person,in
früh,adjective,früh,früheren,frühestes,frühesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/deathPlace,oils:high,dbo:Person,dbo:Person,in
häufig,adjective,häufig,häufigeren,häufigstes,häufigsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
polnisch,adjective,polnisch,polnischeren,polnischstes,polnischsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
regelmäßig,adjective,regelmäßig,regelmäßigeren,regelmäßigstes,regelmäßigsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
spät,adjective,spät,späteren,spätestes,spätesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
gut,adjective,gut,besseren,bestes,besten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
breit,adjective,breit,breiteren,breitestes,breitesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
langjährig,adjective,langjährig,langjährigeren,langjährigstes,langjährigsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
groß,adjective,groß,grösseren,grössestes,grössesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
populär,adjective,populär,populäreren,populärstes,populärsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
früh,adjective,früh,früheren,frühestes,frühesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
russisch,adjective,russisch,russischeren,russischstes,russischsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
aktiv,adjective,aktiv,aktiveren,aktivstes,aktivsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
bekannt,adjective,bekannt,bekannteren,bekanntestes,bekanntesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/deathPlace,oils:high,dbo:Person,dbo:Person,in
groß,adjective,groß,grösseren,grössestes,grössesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/deathPlace,oils:high,dbo:Person,dbo:Person,in
dänisch,adjective,dänisch,dänischeren,dänischstes,dänischsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/largestCity,oils:high,dbo:Person,dbo:Person,in
groß,adjective,groß,grösseren,grössestes,grössesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/city,oils:high,dbo:Person,dbo:Person,in
dänisch,adjective,dänisch,dänischeren,dänischstes,dänischsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
groß,adjective,groß,grösseren,grössestes,grössesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/locatedInArea,oils:high,dbo:Person,dbo:Person,in
dänisch,adjective,dänisch,dänischeren,dänischstes,dänischsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/deathPlace,oils:high,dbo:Person,dbo:Person,in
südlich,adjective,südlich,südlicheren,südlichstes,südlichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
historisch,adjective,historisch,historischeren,historischstes,historischsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/deathPlace,oils:high,dbo:Person,dbo:Person,in
polnisch,adjective,polnisch,polnischeren,polnischstes,polnischsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/locatedInArea,oils:high,dbo:Person,dbo:Person,in
gelegen,adjective,gelegen,gelegeneren,gelegenstes,gelegensten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/deathPlace,oils:high,dbo:Person,dbo:Person,in
gelegen,adjective,gelegen,gelegeneren,gelegenstes,gelegensten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
östlich,adjective,östlich,östlicheren,östlichstes,östlichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
