lemon	partOfSpeech	writtenForm (singular)	writtenForm (plural)	preposition	SyntacticFrame	copulativeArg	prepositionalAdjunct	sense	reference	domain	range
Location-of_2	noun	location	-	of	NounPPFrame	range	domain	1	dbo:locatedInArea	dbo:Mountain	dbo:Country
officialLanguage-of	noun	official language	official languages	of	NounPPFrame	range	domain	1	dbo:officialLanguage	dbo:Country	dbo:Language
ingredient_of	noun	ingredient	ingredients	of	NounPPFrame	range	domain	1	dbo:ingredient	dbo:Food	owl:Thing
largestCity_of	noun	largest city	-	of	NounPPFrame	range	domain	1	dbo:largestCity	dbo:Country	dbo:City
programmingLanguage_of	noun	programming language	programming languages	of	NounPPFrame	range	domain	1	dbo:programmingLanguage	dbo:Work	dbo:Language
editor_of	noun	editor	editors	of	NounPPFrame	range	domain	1	dbo:editor	dbo:Work	dbo:Person
capital-of	noun	capital	-	of	NounPPFrame	range	domain	1	dbo:capital	dbo:Country	dbo:City
child_of	noun	child	children	of	NounPPFrame	range	domain	1	dbo:child	dbo:Person	dbo:Person
nationality_of	noun	nationality	-	of	NounPPFrame	range	domain	1	dbo:nationality	dbo:Person	dbo:Country
AlterEgo-of	noun	alter ego	-	of	NounPPFrame	range	domain	1	dbp:alterEgo	dbo:ComicsCharacter	dbo:Person/xsd:string
formOfGovernment-of	noun	form of government	-	of	NounPPFrame	range	domain	1	dbo:governmentType	dbo:Country	dbo:Country
wine_region_of	noun	wine region	wine regions	of	NounPPFrame	range	domain	1	dbo:wineRegion	dbo:Grape	dbo:Place
loyalty	noun	loyalty	loyalties	X	NounPPFrame	range	domain	1	dbo:connotation	dbo:Loyalty	dbo:Color
Leader-of-1	noun	leader	leaders	of	NounPPFrame	range	domain	1	dbo:leader	dbo:Legislature	dbo:Organisation/dbo:Royalty
vice_president_of	noun	vice president	vice president	of	NounPPFrame	range	domain	1	dbo:vicePresident	dbo:Politician	dbo:Politician
musicComposer-of	noun	music composer	music composers	of	NounPPFrame	range	domain	1	dbo:musicComposer	dbo:TelevisionShow	dbo:Person
currency_of	noun	currency	currencies	of	NounPPFrame	range	domain	1	dbo:currency	dbo:Country	dbo:Currency
developer_of	noun	developer	developers	of	NounPPFrame	range	domain	1	dbo:developer	dbo:Work	dbo:Agent
deathPlace	noun	death place	-	of	NounPPFrame	range	domain	1	dbo:deathPlace	dbo:Politician	dbo:Place
father_of	noun	father	-	of	NounPPFrame	range	domain	1	dbp:father	dbo:Royalty	dbo:Person
producer-of	noun	producer	producers	of	NounPPFrame	range	domain	1	dbo:producer	dbo:Film	dbo:Company
foundationPlace_of	noun	foundation place	-	of	NounPPFrame	range	domain	1	dbo:foundationPlace	dbo:Company	dbo:City
influencer_of	noun	influencer	influencers	of	NounPPFrame	range	domain	1	dbo:influenced	dbo:Person	dbo:Person
doctoralSupervisor_of	noun	doctoral supervisor	doctoral supervisors	of	NounPPFrame	range	domain	1	dbo:doctoralAdvisor	dbo:Scientist	dbo:Person
residence-of	noun	residence	residences	of	NounPPFrame	range	domain	1	dbo:residence	dbo:Place	dbo:Person
currency_of	noun	currency	currencies	of	NounPPFrame	range	domain	1	dbo:currency	dbo:Country	dbo:Currency
son_of	noun	son	sons	of	NounPPFrame	range	domain	1	dbo:child	dbo:Person	dbo:Person
headquarter_of	noun	headquarter	-	of	NounPPFrame	range	domain	1	dbo:headquarter	dbo:Organisation	dbo:PopulatedPlace
