LemonEntry,partOfSpeech,article_singular,writtenForm (singular),spanish_writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range
ciudad_más_grande,noun,feminine,ciudad más grande,ciudades más grandes,de,NounPPFrame,range,domain,1,dbo:largestCity,dbo:Country,dbo:City
videojuego,noun,masculine,videojuego,videojuegos,de,NounPPFrame,domain,range,1,dbo:publisher,dbo:VideoGame,dbo:Company
juegos,noun,masculine,juego,juegos,de,NounPPFrame,domain,range,1,dbo:publisher,dbo:VideoGame,dbo:Publisher
richtiger,noun,masculine,verdadero nombre,verdaderos nombres,de,NounPPFrame,range,domain,1,dbp:alterEgo,dbo:FictionalCharacter,xsd:string
Zeitzone_1,noun,feminine,zona horaria,zonas horarias,de,NounPPFrame,range,domain,1,dbp:timezone,dbo:City,xsd:string
Zeitzone_2,noun,feminine,zona horaria,zonas horarias,de,NounPPFrame,range,domain,1,dbo:timeZone,dbo:Town,xsd:string
padre_1,noun,masculine,padre,padres,de,NounPPFrame,range,domain,1,dbp:father,dbo:Person,dbo:Person
padre_2,noun,masculine,padre,padres,de,NounPPFrame,range,domain,1,dbo:parent,dbo:Person,dbo:Person
Partei,noun,masculine,partido,partidos,de,NounPPFrame,range,domain,1,dbo:party,dbo:Politician,xsd:string
lugar,noun,masculine,lugar de nacimiento,lugares de nacimiento,de,NounPPFrame,range,domain,1,dbo:birthPlace,dbo:Person,dbo:Place
deathPlace,noun,masculine,lugar de fallecimiento,lugares de fallecimiento,de,NounPPFrame,range,domain,1,dbo:deathPlace,dbo:Person,xsd:string
poplación_total_de,noun,feminine,poplación total,poblaciones totales,de,NounPPFrame,range,domain,1,dbo:populationTotal,dbo:Location,xsd:double
editor_de,noun,masculine,editor,editores,de,NounPPFrame,range,domain,1,dbo:editor,dbo:WrittenWork,masculine
präsident_von,noun,masculine,presidente,presidentes,de,NounPPFrame,range,domain,1,dbo:leader,dbo:Legislature,dbo:Person
forma_de_gobierno,noun,masculine,forma de gobierno,forma de gobiernos,de,NounPPFrame,range,domain,1,dbo:governmentType,dbo:Country,dbo:GovernmentType
condados_de,noun,masculine,condados,condados,de,NounPPFrame,domain,range,1,dbo:governmentType,dbo:Country,dbo:Country
necesarios_para,noun,masculine,necesarios,necesarios,para,NounPPFrame,range,domain,1,dbo:ingredient,dbo:Food,xsd:string
libros_en,noun,masculine,libro,libros,en,NounPPFrame,domain,range,1,dbo:series,dbo:WrittenWork,dbo:TelevisionShow
fundador_de,noun,masculine,fundador,fundador,de,NounPPFrame,range,domain,1,dbo:founder,dbo:Publisher,dbo:Person
anfitrión_de,noun,feminine,anfitrión,anfitrión,de,NounPPFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person
especiales_de,noun,masculine,especial,especiales,de,NounPPFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person
partner-of,noun,feminine,pareja,parejas,de,NounPPFrame,range,domain,1,dbo:partner,dbo:Person,dbo:Person
spouse-of,noun,masculine,cónyuge,cónyuges,de,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person
birthDate-of,noun,masculine,lugar de nacimiento,lugares de nacimiento,de,NounPPFrame,range,domain,1,dbo:birthDate,dbo:Person,xsd:date
education-of,noun,feminine,educación,-,de,NounPPFrame,range,domain,1,dbo:education,dbo:Person,xsd:string
nationality_of,noun,feminine,nacionalidad,nacionalidades,de,NounPPFrame,range,domain,1,dbo:nationality,dbo:Person,dbo:Country
editor_of,noun,masculine,editor,editores,de,NounPPFrame,range,domain,1,dbo:editor,dbo:Work,dbo:Person
creator_of,noun,masculine,creator,creadores,de,NounPPFrame,range,domain,1,dbo:creator,dbo:Person,dbo:Agent
capital-of,noun,feminine,capital,capitales,de,NounPPFrame,range,domain,1,dbo:capital,dbo:Country,dbo:City
city-of,noun,feminine,ciudad,ciudades,de,NounPPFrame,range,domain,1,dbo:city,dbo:Country,dbo:City
formOfGovernment-of,noun,feminine,forma de gobierno,formas de gobierno,de,NounPPFrame,range,domain,1,dbo:governmentType,dbo:Country,dbo:GovernmentType
countryCode-of,noun,masculine,código del país,códigos del país,de,NounPPFrame,range,domain,1,dbo:countryCode,dbo:Country,xsd:integer
assets-of,noun,masculine,activo,activos,of,NounPPFrame,range,domain,1,dbo:assets,dbo:Company,xsd:double
subsidiary-of,noun,feminine,filial,filiales,de,NounPPFrame,range,domain,1,dbo:subsidiary,dbo:Company,dbo:Company
predecessor-of,noun,masculine,predecesor,predecesores,de,NounPPFrame,range,domain,1,dbo:predecessor,dbo:Person,dbo:Politician
equity-of,noun,feminine,equidad,equidades,de,NounPPFrame,range,domain,1,dbo:equity,dbo:Company,xsd:double
postalCode-of,noun,masculine,código postal,códigos postales,de,NounPPFrame,range,domain,1,dbo:postalCode,dbo:City,xsd:string
populationTotal-of,noun,feminine,población total,-,de,NounPPFrame,range,domain,1,dbo:populationTotal,dbo:Place,xsd:nonNegativeInteger
completionDate-of,noun,feminine,fecha de finalización,fechas de finalización,de,NounPPFrame,range,domain,1,dbo:completionDate,dbo:TelevisionShow,xsd:date
nearestCity-to,noun,feminine,ciudad más cercana,ciudades más cercanas,de,NounPPFrame,range,domain,1,dbo:nearestCity,dbo:Place,dbo:PopulatedPlace
revenue-of,noun,masculine,ingreso,ingresos,de,NounPPFrame,range,domain,1,dbo:revenue,dbo:Organisation,xsd:double
keyPerson-of,noun,feminine,persona clave,personas clave,de,NounPPFrame,range,domain,1,dbo:keyPerson,dbo:Organisation,dbo:Person
formerName-of,noun,masculine,antiguo nombre,antiguos nombres,de,NounPPFrame,range,domain,1,dbo:formerName,dbo:Organisation,rdf:langString
abbreviation-of,noun,feminine,abreviatura,abreviaturas,de,NounPPFrame,range,domain,1,dbo:abbreviation,dbo:Organisation,xsd:string
formationDate-of,noun,feminine,fecha de formación,fechas de formación,de,NounPPFrame,range,domain,1,dbo:formationDate,dbo:Organisation,xsd:date
runtime-of,noun,masculine,tiempo de ejecución,tiempos de ejecución,de,NounPPFrame,range,domain,2,dbo:runtime,dbo:TelevisionShow,xsd:double
associatedMusicalArtist-of,noun,masculine,artista musical asociado,artistas musicales asociados,de,NounPPFrame,range,domain,1,dbo:associatedMusicalArtist,dbo:MusicalArtist,dbo:Person
artist-of,noun,masculine,artista,artistas,de,NounPPFrame,range,domain,1,dbo:artist,dbo:MusicalWork,dbo:Agent
buidlingEndDate-of,noun,feminine,fecha de finalización del edificio,fechas de finalización del edificio,de,NounPPFrame,range,domain,1,dbo:buildingEndDate,dbo:Location,xsd:date
occupation-of,noun,feminine,ocupación,ocupaciones,de,NounPPFrame,range,domain,1,dbo:occupation,dbo:Person,dbo:PersonFunction
length_of,noun,feminine,longitud,longitudes,de,NounPPFrame,range,domain,1,dbp:length,dbo:River,xsd:nonNegativeInteger
opponent-of,noun,masculine,oponente,oponentes,de,NounPPFrame,range,domain,1,dbo:opponent,dbo:Person,dbo:Person
showJudge-of,noun,masculine,juez del programa,jueces del programa,de,NounPPFrame,range,domain,1,dbo:showJudge ,dbo:TelevisionShow,dbo:Person
electoralDistrict-of,noun,masculine,distrito electoral,distritos electorales,de,NounPPFrame,range,domain,1,dbo:region,dbo:Politician,dbo:Place
releaseDate-of,noun,feminine,fecha de lanzamiento,fechas de lanzamiento,de,NounPPFrame,range,domain,2,dbo:releaseDate,dbo:Song,xsd:date
publicationDate-of,noun,feminine,fecha de publicación,fechas de publicación,de,NounPPFrame,range,domain,1,dbo:publicationDate,dbo:WrittenWork,xsd:date
numberOfPages-of,noun,masculine,número de páginas,-,de,NounPPFrame,range,domain,1,dbo:numberOfPages,dbo:WrittenWork,xsd:positiveInteger
genre-of,noun,masculine,género,géneros,de,NounPPFrame,range,domain,1,dbo:genre,dbo:Work,dbo:Genre
composer-of,noun,masculine,compositor,compositores,de,NounPPFrame,range,domain,1,dbo:composer,dbo:Work,dbo:Person
director-of,noun,masculine,director,directores,de,NounPPFrame,range,domain,1,dbo:director,dbo:Film,dbo:Person
budget-of,noun,masculine,presupuesto,presupuestos,de,NounPPFrame,range,domain,1,dbo:budget,dbo:Film,xsd:double
musicComposer-of,noun,masculine,compositor de música,compositores de música,de,NounPPFrame,range,domain,1,dbo:musicComposer,dbo:Film,dbo:Person
alterEgo-of,noun,feminine,elevación,elevaciones,de,NounPPFrame,range,domain,1,dbo:areaUrban,dbo:PopulatedPlace,xsd:double
realName_1,noun,masculine,nombre real,nombres reales,de,NounPPFrame,range,domain,1,dbp:alterEgo,dbo:ComicsCharacter,xsd:string
areaCode_of,noun,masculine,código de área,códigos de área,de,NounPPFrame,range,domain,1,dbo:areaCode,dbo:Place,xsd:string
artisticMovement_of,noun,masculine,movimiento artístico ,movimientos artísticos,de,NounPPFrame,range,domain,1,dbo:movement,dbo:Artist,owl:Thing
author_of,noun,masculine,autor,autores,de,NounPPFrame,range,domain,1,dbo:author,dbo:Work,dbo:Person
birthYear_of,noun,masculine,año de nacimiento,años de nacimiento,de,NounPPFrame,range,domain,1,dbo:birthYear,dbo:Person,xsd:gYear
causeOfDeath_of,noun,feminine,causa de muerte,causas de muerte,de,NounPPFrame,range,domain,1,dbo:deathCause,dbo:Person,owl:Thing
child_of,noun,masculine,niño,niños,de,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person
cost_of,noun,masculine,costo,costos,de,NounPPFrame,range,domain,1,dbo:budget,dbo:Film,xsd:double
currency_of,noun,feminine,moneda,monedas,de,NounPPFrame,range,domain,1,dbo:currency,dbo:Country,dbo:Currency
deathDate-of,noun,feminine,fecha de fallecimiento,-,de,NounPPFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date
developer_of,noun,masculine,desarrollador,desarrolladores,de,NounPPFrame,range,domain,1,dbo:developer,dbo:Work,dbo:Agent
dissolutionDate_of,noun,feminine,fecha de disolución,fechas de disolución,de,NounPPFrame,range,domain,1,dbo:dissolutionDate,dbo:PopulatedPlace,xsd:date
doctoralSupervisor_of,noun,masculine,supervisor de doctorado,supervisores de doctorado,de,NounPPFrame,range,domain,1,dbo: doctoralAdvisor,dbo:Scientist,dbo:Person
elevation_of,noun,feminine,elevación,elevaciones,de,NounPPFrame,range,domain,1,dbo:areaUrban,dbo:PopulatedPlace,xsd:double
episode_of,noun,masculine,episodio,episodios,de,NounPPFrame,range,domain,1,dbo:series,dbo:TelevisionEpisode,dbo:TelevisionShow
foundationPlace_of,noun,masculine,lugar de fundación,lugares de fundación,de,NounPPFrame,range,domain,1,dbo:foundationPlace,dbo:Organisation,dbo:City
founder_of,noun,masculine,fundador,fundadores,de,NounPPFrame,range,domain,1,dbo:parentCompany,dbo:Company,dbo:Company
foundingYear_of,noun,masculine,año de fundación,años de fundación,de,NounPPFrame,range,domain,1,dbo:foundingYear,dbo:Company,xsd:gYear
headquarter_of,noun,feminine,oficina central,oficinas centrales,de,NounPPFrame,range,domain,1,dbo:headquarter,dbo:Organisation,dbo:PopulatedPlace
homeStadium_of,noun,masculine,estadio,estadios,de,NounPPFrame,range,domain,1,dbo:ground,dbo:SoccerClub,dbo:Building
host_of,noun,masculine,anfitrión,anfitriones,de,NounPPFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person
influencer_of,noun,masculine,influenciador,influenciadores,de,NounPPFrame,range,domain,1,dbo:influenced,dbo:Person,dbo:Person
ingredient_of,noun,masculine,ingrediente,ingredientes,de,NounPPFrame,range,domain,1,dbo:ingredient,dbo:Food,owl:Thing
largestCity_of,noun,feminine,ciudad más grande ,ciudades más grande ,de,NounPPFrame,range,domain,1,dbo:largestCity,dbo:Country,dbo:City
leader-of,noun,masculine,líder,líderes,de,NounPPFrame,range,domain,1,dbo:leader,dbo:Country,dbo:Person
location-of,noun,feminine,ubicación,ubicaciones,de,NounPPFrame,range,domain,1,dbo:location,dbo:Place,dbo:Place
manufacturer-of,noun,masculine,fabricante,fabricantes,de,NounPPFrame,range,domain,1,dbo:manufacturer,owl:Thing,dbo:Organisation
mayor_of,noun,masculine,alcalde,alcaldes,de,NounPPFrame,range,domain,1,dbo:mayor,dbo:City,dbo:Person
almaMater-of,noun,feminine,Alma Máter,-,de,NounPPFrame,range,domain,1,dbo:almaMater,dbo:Person,dbo:EducationalInstitution
destination-of,noun,masculine,destino,destinos,de,NounPPFrame,range,domain,1,dbo:destination,dbo:PublicTransitSystem,dbo:PopulatedPlace
distributor-of,noun,masculine,distribuidor,distribuidores,de,NounPPFrame,range,domain,1,dbo:distributor,dbo:Film,dbo:Organisation
gross-of,noun,masculine,bruto,brutos,de,NounPPFrame,range,domain,1,dbo:gross,dbo:Film,xsd:double
productionCompany-of,noun,feminine,empresa productora,empresas productoras,de,NounPPFrame,range,domain,1,dbo:productionCompany,dbo:Work,dbo:Company
length-of,noun,feminine,longitud,longitudes,de,NounPPFrame,range,domain,1,dbo:length,dbo:River,xsd:double
areaTotal-of,noun,feminine,área total,áreas totales,de,NounPPFrame,range,domain,1,dbo:areaTotal,dbo:Place,xsd:double
governingBody-of,noun,masculine,órgano rector,órganos rectores,de,NounPPFrame,range,domain,1,dbo:governingBody,dbo:Place,dbo:Organisation
elevation-of,noun,feminine,elevación,elevaciones,de,NounPPFrame,range,domain,1,dbo:elevation,dbo:Place,xsd:double
populationMetro-of,noun,,,,,NounPPFrame,range,domain,1,dbo:populationMetro,dbo:PopulatedPlace,xsd:nonNegativeInteger
areaUrban-of,noun,feminine,área urbana,áreas urbanas,de,NounPPFrame,range,domain,1,dbo:areaUrban,dbo:PopulatedPlace,xsd:double
populationDensity-of,noun,feminine,densidad demográfica,densidades demográficas,de,NounPPFrame,range,domain,1,dbo:populationDensity,dbo:PopulatedPlace,xsd:double
populationTotalRanking_of,noun,feminine,clasificación de la población total,clasificaciones de la población total,de,NounPPFrame,range,domain,1,dbo:populationTotalRanking,dbo:PopulatedPlace,xsd:positiveInteger
soundRecording-of,noun,feminine,grabación de sonido,grabaciones de sonido,de,NounPPFrame,range,domain,1,dbo:soundRecording,dbo:Work,dbo:Sound
originalName-of,noun,masculine,nombre original,nombres originales,de,NounPPFrame,range,domain,1,dbo:originalName ,dbo:Person,xsd:string
headquarter,noun,feminine,oficina central,oficinas centrales,de,NounPPFrame,range,domain,1,dbo:headquarter,dbo:Organisation,dbo:PopulatedPlace
netIncome-of,noun,masculine,ingreso neto,ingresos netos,de,NounPPFrame,range,domain,1,dbo:netIncome,dbo:Company,xsd:double
citizenship-of,noun,feminine,ciudadanía,ciudadanías,de,NounPPFrame,range,domain,1,dbo:citizenship,dbo:Person,dbo:Location
deathCause-of,noun,feminine,causa de muerte,causas de muerte,de,NounPPFrame,range,domain,1,dbo:deathCause,dbo:Person,dbo:disease
signature-of,noun,feminine,firma,firmas,de,NounPPFrame,range,domain,1,dbo:signature,dbo:Person,xsd:string
profession-of,noun,feminine,profesión,profesiones,de,NounPPFrame,range,domain,1,dbo:profession,dbo:Person,dbo:PersonFunction
recordLabel-of,noun,masculine,sello discográfico,sellos discográficos,de,NounPPFrame,range,domain,1,dbo:recordLabel,dbo:Work,dbo:RecordLabel
previousWork-of,noun,masculine,trabajo anterior,trabajos anteriores,de,NounPPFrame,range,domain,1,dbo:previousWork,dbo:Work,dbo:Work
subsequentWork-of,noun,masculine,trabajo subsiguiente,trabajos subsiguientes,de,NounPPFrame,range,domain,1,dbo:subsequentWork,dbo:Work,dbo:Work
dissolutionDate-of,noun,feminine,fecha de disolución,fechas de disolución,de,NounPPFrame,range,domain,1,dbo:DissolutionDate,dbo:PopulatedPlace,xsd:date
wife-of,noun,feminine,esposa,esposas,de,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person
producer-of,noun,masculine,productor,productores,de,NounPPFrame,range,domain,1,dbo:producer,dbo:Film,dbo:Person
narrator-of,noun,masculine,narrador,narradores,de,NounPPFrame,range,domain,1,dbo:narrator,dbo:Work,dbo:Person
portrayer-of,noun,masculine,retratador,retratadores,de,NounPPFrame,range,domain,1,dbo:portrayer,dbo:FictionalCharacter,dbo:Person
stateOfOrigin-of,noun,masculine,origen,origenes,de,NounPPFrame,range,domain,1,dbo:stateOfOrigin,dbo:Person,dbo:Country
mostKnownWorks-of,noun,feminine,obra más conocida,obras más conocidas,de,NounPPFrame,range,domain,1,dbo:knownFor,dbo:Person,dbo:Work
education-of,noun,feminine,educación,-,de,NounPPFrame,range,domain,1,dbo:education,dbo:Person,xsd:string
runtimeSeconds-of,noun,masculine,tiempo de ejecución en segundos,tiempos de ejecución en segundos,de,NounPPFrame,range,domain,1,dbo:runtime,dbo:Work,xsd:double
writer-of,noun,masculine,escritor,escritores,de,NounPPFrame,range,domain,1,dbo:writer,dbo:Work,dbo:Person
foundingDate-of,noun,feminine,fecha de fundación,fechas de fundación,de,NounPPFrame,range,domain,1,dbo:foundingDate,dbo:Organisation,xsd:date
assets-of,noun,masculine,activo,activos,de,NounPPFrame,range,domain,1,dbo:assets,dbo:Company,xsd:double
numberOfEmployees,noun,masculine,número de empleados,-,de,NounPPFrame,range,domain,1,dbo:numberOfEmployees,dbo:Organisation,xsd:nonNegativeInteger
operatingIncome-of,noun,masculine,ingreso operativo,ingresos operativos,de,NounPPFrame,range,domain,1,dbo:operatingIncome,dbo:Company,xsd:double
aream_of,noun,feminine,área en m²,áreas en m²,de,NounPPFrame,range,domain,1,dbo:area,dbo:Place,xsd:double
currency-of,noun,feminine,moneda,monedas,de,NounPPFrame,range,domain,1,dbo:currency,dbo:Country,dbo:Currency
foundingYear-of,noun,masculine,año de fundación,-,de,NounPPFrame,range,domain,1,dbo:foundingYear,dbo:Country,xsd:gYear
deathDate-of,noun,feminine,fecha de fallecimiento,-,de,NounPPFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date
endowment-of,noun,feminine,dotación,dotaciones,de,NounPPFrame,range,domain,1,dbo:endowment,dbo:Organisation,xsd:double
area-of,noun,feminine,área,áreas,de,NounPPFrame,range,domain,1,dbo:area,dbo:Organisation,xsd:double
networth-of,noun,feminine,red,redes,de,NounPPFrame,range,domain,1,dbo:networth,dbo:Person,xsd:double
parent-of,noun,masculine,padre,padres,de,NounPPFrame,range,domain,1,dbo:parent,dbo:Person,dbo:Person
averageDepth-of,noun,feminine,profundidad media,profundidades medias,de,NounPPFrame,range,domain,1,dbo:averageDepth,dbo:Place,xsd:double
maximumDepth-of,noun,feminine,profundidad máxima,profundidades máximas,de,NounPPFrame,range,domain,1,dbo:maximumDepth,dbo:Place,xsd:double
shoreLength-of,noun,feminine,longitud corta,longitudes cortas,de,NounPPFrame,range,domain,1,dbo:shoreLength,dbo:BodyOfWater,xsd:double
volume-of,noun,masculine,volumen,volúmenes,de,NounPPFrame,range,domain,1,dbo:volume,dbo:BodyOfWater,xsd:double
width-of,noun,masculine,ancho,anchos,de,NounPPFrame,range,domain,1,dbo:width,dbo:BodyOfWater,xsd:double
totalArea-of,noun,feminine,área total,áreas totales,de,NounPPFrame,range,domain,1,dbo:areaTotal,dbo:Place,xsd:double
parentCompany-of,noun,feminine,casa matriz,casa matrices,de,NounPPFrame,range,domain,1,dbo:parentCompany,dbo:Company,dbo:Company
service-of,noun,masculine,servicio,servicios,de,NounPPFrame,range,domain,1,dbo:service,dbo:Organisation,dbo:PersonFunction
movie-of,noun,feminine,película ,películas,de,NounPPFrame,range,domain,1,dbo:Person,dbo:Person,dbo:Work
awards-of,noun,masculine,premio,premios,de,NounPPFrame,range,domain,1,dbo:award,dbo:Work,dbo:Award
producer-of,noun,masculine,productor,productores,de,NounPPFrame,range,domain,2,dbo:producer,dbo:Song,dbo:Person
bside-of,noun,feminine,cara B,caras Bs,de,NounPPFrame,range,domain,1,dbo:bsSde,dbo:Song,xsd:string
releaseType-of,noun,masculine,tipo de liberación,tipos de liberación,de,NounPPFrame,range,domain,1,dbo:type,dbo:Song,xsd:string
aside-of,noun,feminine,cara A,caras As,de,NounPPFrame,range,domain,1,dbo:aSide,dbo:Song,xsd:string
literaryGenre-of,noun,masculine,género literario,géneros literarios,de,NounPPFrame,range,domain,2,dbo:literaryGenre,dbo:WrittenWork,dbo:literaryGenre
language-of,noun,masculine,idioma,idiomas,de,NounPPFrame,range,domain,1,dbo:language,dbo:WrittenWork,dbo:Language
language-of,noun,masculine,idioma,idiomas,de,NounPPFrame,range,domain,2,dbo:language,dbo:Organisation,dbo:Language
publisher-of,noun,masculine,editor,editores,de,NounPPFrame,range,domain,2,dbo:publisher,dbo:WrittenWork,dbo:Agent
mediaType-of,noun,masculine,tipo de medios,tipos de medios,de,NounPPFrame,range,domain,1,dbo:mediaType,dbo:WrittenWork,xsd:string
colour-of,noun,masculine,color,colores,de,NounPPFrame,range,domain,1,dbo:colour,dbo:PoliticalParty,dbo:Colour
movie_of,noun,feminine,película ,películas,de,NounPPFrame,range,domain,1,dbo:starring,dbo:Actor,dbo:Work
show-of,noun,masculine,programa,programas,de,NounPPFrame,range,domain,1,dbo:starring,dbo:Actor,dbo:Work
membership-of,noun,feminine,membresía,membresías,de,NounPPFrame,range,domain,1,dbo:membership,dbo:Organisation,rdf:langString
purpose-of,noun,masculine,propósito,propósitos,de,NounPPFrame,range,domain,1,dbo:purpose,dbo:Organisation,xsd:string
revenueYear-of,noun,masculine,año de ingresos declarados,años de ingresos declarados,de,NounPPFrame,range,domain,1,dbo:revenueYear,dbo:Organisation,xsd:gYear
anthem-of,noun,masculine,himno,himnos,de,NounPPFrame,range,domain,1,dbo:anthem,dbo:Country,xsd:string
currencyCode-of,noun,masculine,código de divisa,códigos de divisas,de,NounPPFrame,range,domain,1,dbo:currencyCode,dbo:Currency,xsd:string
demonym-of,noun,masculine,demonio,demonios,de,NounPPFrame,range,domain,1,dbo:demonym,dbo:Country,xsd:string
event-in,noun,masculine,evento,eventos,de,NounPPFrame,range,domain,1,dbo:event,dbo:Country,xsd:string
giniCoefficient-of,noun,masculine,coeficiente de Gini,-,de,NounPPFrame,range,domain,1,dbo:giniCoefficient,dbo:Country,xsd:double
house-of,noun,feminine,casa,casas,de,NounPPFrame,range,domain,1,dbo:house,dbo:Country,xsd:double
country-of,noun,masculine,país,países,de,NounPPFrame,range,domain,1,dbo:Country,dbo:City,xsd:string
leaderName-of,noun,masculine,nombre del líder,nombres de los líderes,de,NounPPFrame,range,domain,1,dbo:leaderName,dbo:City,xsd:string
leaderTitle-of,noun,masculine,cargo del líder,cargos de los líderes,de,NounPPFrame,range,domain,1,dbo:leaderTitle,dbo:City,xsd:string
licenseNumber-of,noun,masculine,número de licencia ,números de licencia ,de,NounPPFrame,range,domain,1,dbo:licenseNumber,dbo:City,xsd:string
motto-of,noun,masculine,lema,lemas,de,NounPPFrame,range,domain,1,dbo:motto,dbo:City,xsd:string
percentageOfAreaWater-of,noun,masculine,porcentaje de área de agua,porcentajes de área de agua,de,NounPPFrame,range,domain,1,dbo:percentageOfAreaWater,dbo:City,xsd:double
subdivision-of,noun,feminine,subdivisión,subdivisiones,de,NounPPFrame,range,domain,1,dbo:subdivision,dbo:City,xsd:string
timeZone-of,noun,feminine,zona horaria,zonas horarias,de,NounPPFrame,range,domain,1,dbo:timezone,dbo:City,xsd:string
child-of,noun,masculine,hijo,hijos,de,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person
deathPlace-of,noun,masculine,lugar de fallecimiento,lugares de fallecimiento,de,NounPPFrame,range,domain,1,dbo:deathPlace,dbo:Person,xsd:string
boardgame_by,noun,masculine,juego de mesa,juegos de mesa,de,NounPPFrame,range,domain,1,dbo:publisher,dbo:Work,dbo:Agent
mayor_of_1,noun,masculine,alcalde,alcaldes,de,NounPPFrame,range,domain,1,dbo:mayor,dbo:City,dbo:Person
mayor_of_2,noun,masculine,alcalde,alcaldes,de,NounPPFrame,range,domain,1,dbo:leaderName,dbo:City,dbo:Person
official-anguage_of,noun,masculine,idioma oficial,idiomas oficiales,de,NounPPFrame,range,domain,1,dbo:officialLanguage,dbo:Country,dbo:Language
owner_of,noun,masculine,proprietario,proprietarios,de,NounPPFrame,range,domain,1,dbo:owner,dbo:Company,dbo:Person
astronaut_of,noun,masculine,astronauta,astronautas,de,NounPPFrame,range,domain,1,dbo:mission,dbo:Person,dbo:SpaceMission
designer_of,noun,masculine,diseñador,diseñadores,de,NounPPFrame,range,domain,1,dbp:designer,dbo:Building,dbo:Person
Zeitzone_1,noun,feminine,zona horaria,zonas horarias,de,NounPPFrame,range,domain,1,dbp:timezone,dbo:City,xsd:string
Zeitzone_2,noun,feminine,zona horaria,zonas horarias,de,NounPPFrame,range,domain,1,dbo:timeZone,dbo:Town,xsd:string
daughter_of,noun,feminine,hija,hijas,de,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person
soccer_club_of,noun,masculine,club de futbol,club de futbol,de,NounPPFrame,range,domain,1,dbo:league,dbo:Agent,dbo:SportsLeague
official_color_of,noun,masculine,color oficial,colores oficiales,de,NounPPFrame,range,domain,1,dbo:officialSchoolColour,dbo:Agent,xsd:string
company_in,noun,feminine,compañia,compañías,de,NounPPFrame,range,domain,1,dbo:location,dbo:Organisation,dbo:Settlement
