LemonEntry,partOfSpeech,article_singular,writtenForm (singular),spanish_writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range
capital,noun,feminine,capital,capitales,de,NounPPFrame,range,domain,1,dbo:capital,dbo:Country,dbo:Place
alcalde_1,noun,masculine,alcalde,alcaldes,de,NounPPFrame,range,domain,1,dbo:mayor,dbo:City,dbo:Person
alcalde_2,noun,masculine,alcalde,alcaldes,de,NounPPFrame,range,domain,1,dbo:leaderName,dbo:City,dbo:Person
idioma_oficial_1,noun,masculine,idioma oficial,idiomas oficiales,de,NounPPFrame,range,domain,1,dbo:officialLanguage,dbo:Country,dbo:Language
hijo_1,noun,masculine,hijo,hijos,de,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person
miembro,noun,masculine,miembro,miembros,de,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Band,dbo:Person
mujer,noun,feminine,mujer,mujeres,de,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person
música,noun,feminine,música,musicales,de,NounPPFrame,domain,range,1,dbo:musicBy,dbo:Musical,dbo:Person
sohn,noun,masculine,hijo,hijos,de,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person
tocher,noun,feminine,hija,hijas,de,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person
spitzname,noun,masculine,apodo,apodos,de,NounPPFrame,range,domain,1,dbp:nickname,dbo:City,xsd:string
gobierno,noun,masculine,forma de gobierno,forma de gobiernos,de,NounPPFrame,range,domain,1,dbo:governmentType,dbo:Country,dbo:GovernmentType
desarrollo,noun,masculine,desarrollo,desarrolladores,de,NounPPFrame,range,domain,1,dbo:developer,dbo: Software,dbo:University
código,noun,masculine,código de área,códigos de área,de,NounPPFrame,range,domain,1,dbo:areaCode,dbo:Place,xsd:string
vicepresidente_1,noun,masculine,vicepresidente,vicepresidentes,de,NounPPFrame,range,domain,1,dbo:vicePresident,dbo:Person,dbo:Person
vicepresidente_2,noun,masculine,vicepresidente,vicepresidentes,bajo,NounPPFrame,range,domain,1,dbo:vicePresident,dbo:Politician,dbo:Person
sucesor,noun,masculine,sucesor,sucesores,de,NounPPFrame,range,domain,1,dbo:successor,dbo:Politician,dbo:Person
moneda,noun,feminine,moneda,monedas,de,NounPPFrame,range,domain,1,dbo:currency,dbo:Country,dbo:Currency
doctorado,noun,masculine,supervisor de doctorado,supervisores de doctorado,de,NounPPFrame,range,domain,1,dbo:doctoralAdvisor,dbo:Person,dbo:Person
Enkel,noun,masculine,nieto,nietos,de,NounPPFrame,range,domain,1,dbo:parent,dbo:Person,dbo:Person
