LemonEntry,partOfSpeech,writtenForm,SyntacticFrame,copulativeSubject,attributiveArg,sense,reference,owl:onProperty,owl:hasValue,domain,range
deutsch,adjective,deutsch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
deutsch,adjective,deutsch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathPlace,,dbo:Person,dbo:Person
britisch,adjective,britisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathDate,,dbo:Person,dbo:Person
österreichisch,adjective,österreichisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathDate,,dbo:Person,dbo:Person
britisch,adjective,britisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
österreichisch,adjective,österreichisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathPlace,,dbo:Person,dbo:Person
britisch,adjective,britisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathPlace,,dbo:Person,dbo:Person
österreichisch,adjective,österreichisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
US-amerikanisch,adjective,US-amerikanisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
US-amerikanisch,adjective,US-amerikanisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathDate,,dbo:Person,dbo:Person
US-amerikanisch,adjective,US-amerikanisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathPlace,,dbo:Person,dbo:Person
französisch,adjective,französisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathDate,,dbo:Person,dbo:Person
französisch,adjective,französisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathPlace,,dbo:Person,dbo:Person
gebürtig,adjective,gebürtig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathDate,,dbo:Person,dbo:Person
italienisch,adjective,italienisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathDate,,dbo:Person,dbo:Person
gebürtig,adjective,gebürtig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathPlace,,dbo:Person,dbo:Person
gebürtig,adjective,gebürtig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
spanisch,adjective,spanisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathPlace,,dbo:Person,dbo:Person
französisch,adjective,französisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
italienisch,adjective,italienisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathPlace,,dbo:Person,dbo:Person
spanisch,adjective,spanisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathDate,,dbo:Person,dbo:Person
italienisch,adjective,italienisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
spanisch,adjective,spanisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
tätig,adjective,tätig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
hauptsächlich,adjective,hauptsächlich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
kanadisch,adjective,kanadisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
tschechisch,adjective,tschechisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
bekannt,adjective,bekannt,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
russisch,adjective,russisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathPlace,,dbo:Person,dbo:Person
verschieden,adjective,verschieden,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
tschechisch,adjective,tschechisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathDate,,dbo:Person,dbo:Person
russisch,adjective,russisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathDate,,dbo:Person,dbo:Person
ehemalig,adjective,ehemalig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
