LemonEntry,partOfSpeech,writtenForm,SyntacticFrame,copulativeSubject,attributiveArg,sense,reference,owl:onProperty,owl:hasValue,domain,range
häufig,adjective,häufig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
weltweit,adjective,weltweit,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
spät,adjective,spät,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
ursprünglich,adjective,ursprünglich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
polnisch,adjective,polnisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
dänisch,adjective,dänisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
häufig,adjective,häufig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
stammend,adjective,stammend,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
neu,adjective,neu,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
gelegentlich,adjective,gelegentlich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
bestehend,adjective,bestehend,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
verschieden,adjective,verschieden,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
spanisch,adjective,spanisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
weltweit,adjective,weltweit,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
kommerziell,adjective,kommerziell,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
portugiesisch,adjective,portugiesisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
französisch,adjective,französisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
wichtig,adjective,wichtig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
stammend,adjective,stammend,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
zahlreich,adjective,zahlreich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
kommerziell,adjective,kommerziell,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
musikalisch,adjective,musikalisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
bedeutend,adjective,bedeutend,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
überwiegend,adjective,überwiegend,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
klassisch,adjective,klassisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
veröffentlicht,adjective,veröffentlicht,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
russisch,adjective,russisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
spät,adjective,spät,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
hauptsächlich,adjective,hauptsächlich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
stark,adjective,stark,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
politisch,adjective,politisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
international,adjective,international,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
zahlreich,adjective,zahlreich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
gleichnamig,adjective,gleichnamig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
fünfköpfig,adjective,fünfköpfig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
vereinigt,adjective,vereinigt,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
musikalisch,adjective,musikalisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
deutschsprachig,adjective,deutschsprachig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
alt,adjective,alt,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
klassisch,adjective,klassisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
typisch,adjective,typisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
traditionell,adjective,traditionell,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
verschieden,adjective,verschieden,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
veröffentlicht,adjective,veröffentlicht,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
irisch,adjective,irisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
gemeinsam,adjective,gemeinsam,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
populär,adjective,populär,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
tätig,adjective,tätig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
elektronisch,adjective,elektronisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
belgisch,adjective,belgisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
wechselnd,adjective,wechselnd,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
norwegisch,adjective,norwegisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
gemeinsam,adjective,gemeinsam,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
vereinigt,adjective,vereinigt,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
wichtig,adjective,wichtig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
italienisch,adjective,italienisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
schnell,adjective,schnell,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
griechisch,adjective,griechisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
einzig,adjective,einzig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
erneut,adjective,erneut,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
modern,adjective,modern,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
schottisch,adjective,schottisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
politisch,adjective,politisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
europäisch,adjective,europäisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
stilistisch,adjective,stilistisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
niederländisch,adjective,niederländisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
international,adjective,international,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
bayerisch,adjective,bayerisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
melodisch,adjective,melodisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
neu,adjective,neu,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
schweizerisch,adjective,schweizerisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
finnisch,adjective,finnisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
traditionell,adjective,traditionell,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
populär,adjective,populär,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
kanadisch,adjective,kanadisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
überwiegend,adjective,überwiegend,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
kurzzeitig,adjective,kurzzeitig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
christlich,adjective,christlich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
erneut,adjective,erneut,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
maßgeblich,adjective,maßgeblich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
unterschiedlich,adjective,unterschiedlich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
ansässig,adjective,ansässig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
melodisch,adjective,melodisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
melancholisch,adjective,melancholisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
elektronisch,adjective,elektronisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
europäisch,adjective,europäisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
schottisch,adjective,schottisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
stilistisch,adjective,stilistisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
irisch,adjective,irisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
einzig,adjective,einzig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
aktuell,adjective,aktuell,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
alt,adjective,alt,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
zwischenzeitlich,adjective,zwischenzeitlich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
existierend,adjective,existierend,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
weit,adjective,weit,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
bedeutend,adjective,bedeutend,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
belgisch,adjective,belgisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
negativ,adjective,negativ,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
parallel,adjective,parallel,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
momentan,adjective,momentan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
heutig,adjective,heutig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
hart,adjective,hart,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
schweizerisch,adjective,schweizerisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
unterschiedlich,adjective,unterschiedlich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
gleichnamig,adjective,gleichnamig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
enthalten,adjective,enthalten,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
produziert,adjective,produziert,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
neuseeländisch,adjective,neuseeländisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
typisch,adjective,typisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
führend,adjective,führend,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
modern,adjective,modern,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
rein,adjective,rein,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
dänisch,adjective,dänisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
gleich,adjective,gleich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
hoch,adjective,hoch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
gleich,adjective,gleich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
einzeln,adjective,einzeln,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
melancholisch,adjective,melancholisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
deutlich,adjective,deutlich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
regelmäßig,adjective,regelmäßig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
damalig,adjective,damalig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
gelegentlich,adjective,gelegentlich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
mehrfach,adjective,mehrfach,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
brasilianisch,adjective,brasilianisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
maßgeblich,adjective,maßgeblich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
ungarisch,adjective,ungarisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
russisch,adjective,russisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
deutlich,adjective,deutlich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
wesentlich,adjective,wesentlich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
entscheidend,adjective,entscheidend,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
lang,adjective,lang,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
ähnlich,adjective,ähnlich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
spanisch,adjective,spanisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
tätig,adjective,tätig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
wörtlich,adjective,wörtlich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
orientiert,adjective,orientiert,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
textlich,adjective,textlich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
führend,adjective,führend,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
aufmerksam,adjective,aufmerksam,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
schnell,adjective,schnell,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
instrumental,adjective,instrumental,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
verantwortlich,adjective,verantwortlich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
polnisch,adjective,polnisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
weitgehend,adjective,weitgehend,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
komplett,adjective,komplett,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
hoch,adjective,hoch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
gut,adjective,gut,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
jetzig,adjective,jetzig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
heutig,adjective,heutig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
mexikanisch,adjective,mexikanisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
produziert,adjective,produziert,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
volkstümlich,adjective,volkstümlich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
lateinisch,adjective,lateinisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
experimentell,adjective,experimentell,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
fiktiv,adjective,fiktiv,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
primär,adjective,primär,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
südafrikanisch,adjective,südafrikanisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
damalig,adjective,damalig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/founder,,dbo:Person,dbo:Person
kurz,adjective,kurz,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/bandMember,,dbo:Person,dbo:Person
