"lemon","partOfSpeech","writtenFormInfinitive/2ndPerson","writtenForm3rdPerson","writtenFormPast","writtenFormPerfect","preposition","SyntacticFrame","subject","prepositionalAdjuct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-2879","verb","starring","in","starring","in","in","IntransitivePPFrame","domain","range","1","dbo:starring","dbo:Film","dbo:Person","""0.576993851115008""","dbo:starring","""""""1-gram"""""""
"lexicalEntry-2880","verb","starring","in","starring","in","in","IntransitivePPFrame","range","domain","1","dbo:starring","dbo:Film","dbo:Person","""0.576993851115008""","dbo:starring","""""""1-gram"""""""
