"lemon","partOfSpeech","writtenFormInfinitive/2ndPerson","writtenForm3rdPerson","writtenFormPast","writtenFormPerfect","SyntacticFrame","subject","directObject","sense","reference","domain","range","passivePreposition","value","filename","gram"
"lexicalEntry-2195","verb","headquartered","headquartered","headquartered","headquartered","TransitiveFrame","range","domain","1","dbo:numberOfLocations","dbo:Company","xsd:nonNegativeInteger","by","0.232746245630385","dbo:numberOfLocations","1-gram"
"lexicalEntry-2196","verb","headquartered","headquartered","headquartered","headquartered","TransitiveFrame","domain","range","1","dbo:numberOfLocations","dbo:Company","xsd:nonNegativeInteger","by","0.232746245630385","dbo:numberOfLocations","1-gram"
"lexicalEntry-2199","verb","headquartered in","headquartered in","headquartered in","headquartered in","TransitiveFrame","range","domain","1","dbo:numberOfLocations","dbo:Company","xsd:nonNegativeInteger","by","0.226371459872977","dbo:numberOfLocations","2-gram"
"lexicalEntry-2200","verb","headquartered in","headquartered in","headquartered in","headquartered in","TransitiveFrame","domain","range","1","dbo:numberOfLocations","dbo:Company","xsd:nonNegativeInteger","by","0.226371459872977","dbo:numberOfLocations","2-gram"
