"lemon","partOfSpeech","writtenFormInfinitive/2ndPerson","writtenForm3rdPerson","writtenFormPast","writtenFormPerfect","preposition","SyntacticFrame","subject","prepositionalAdjuct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-4174","verb","it flows","it flows","it flows","it flows","in","IntransitivePPFrame","domain","range","1","dbp:mouthLocation","dbo:River","dbo:Country","""0.416020607748818""","dbp:mouthLocation","""""""2-gram"""""""
"lexicalEntry-4175","verb","it flows","it flows","it flows","it flows","in","IntransitivePPFrame","range","domain","1","dbp:mouthLocation","dbo:River","dbo:Country","""0.416020607748818""","dbp:mouthLocation","""""""2-gram"""""""
