"lemon","partOfSpeech","writtenFormInfinitive/2ndPerson","writtenForm3rdPerson","writtenFormPast","writtenFormPerfect","preposition","SyntacticFrame","subject","prepositionalAdjuct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-2645","verb","ranking","ranking","ranking","ranking","in","IntransitivePPFrame","domain","range","1","dbo:residence","dbo:Single","dbo:City","""0.802262772648235""","dbo:residence","""""""1-gram"""""""
"lexicalEntry-2646","verb","ranking","ranking","ranking","ranking","in","IntransitivePPFrame","range","domain","1","dbo:residence","dbo:Single","dbo:City","""0.802262772648235""","dbo:residence","""""""1-gram"""""""
