"lemon","partOfSpeech","writtenFormInfinitive/2ndPerson","writtenForm3rdPerson","writtenFormPast","writtenFormPerfect","SyntacticFrame","subject","directObject","sense","reference","domain","range","passivePreposition","value","filename","gram"
"lexicalEntry-2545","verb","develop","develops","developed","developed","TransitiveFrame","range","domain","1","dbo:releaseDate","dbo:Software","xsd:date","by","0.721796146064436","dbo:releaseDate","1-gram"
"lexicalEntry-2546","verb","develop","develops","developed","developed","TransitiveFrame","domain","range","1","dbo:releaseDate","dbo:Software","xsd:date","by","0.721796146064436","dbo:releaseDate","1-gram"
