"lemon","partOfSpeech","writtenFormInfinitive/2ndPerson","writtenForm3rdPerson","writtenFormPast","writtenFormPerfect","SyntacticFrame","subject","directObject","sense","reference","domain","range","passivePreposition","value","filename","gram"
"lexicalEntry-3","verb","create","creates","created","created","TransitiveFrame","range","domain","1","dbo:knownFor","dbo:Award","dbo:Person","by","0.534522483824849","dbo:knownFor","1-gram"
"lexicalEntry-4","verb","create","creates","created","created","TransitiveFrame","domain","range","1","dbo:knownFor","dbo:Award","dbo:Person","by","0.534522483824849","dbo:knownFor","1-gram"
