"lemon","partOfSpeech","writtenFormInfinitive/2ndPerson","writtenForm3rdPerson","writtenFormPast","writtenFormPerfect","preposition","SyntacticFrame","subject","prepositionalAdjuct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-4206","verb","born","born","born","born","in","IntransitivePPFrame","domain","range","1","dbp:nickname","dbo:Person","xsd:String","""0.868297960940602""","dbp:nickname","""""""1-gram"""""""
"lexicalEntry-4207","verb","born","born","born","born","in","IntransitivePPFrame","range","domain","1","dbp:nickname","dbo:Person","xsd:String","""0.868297960940602""","dbp:nickname","""""""1-gram"""""""
