"lemon","partOfSpeech","writtenFormInfinitive/2ndPerson","writtenForm3rdPerson","writtenFormPast","writtenFormPerfect","SyntacticFrame","subject","directObject","sense","reference","domain","range","passivePreposition","value","filename","gram"
"lexicalEntry-703","verb","merged into","merged into","merged into","merged into","TransitiveFrame","range","domain","1","dbo:dissolutionDate","dbo:Place","xsd:date","by","0.528395949267478","dbo:dissolutionDate","4-gram"
"lexicalEntry-704","verb","merged into","merged into","merged into","merged into","TransitiveFrame","domain","range","1","dbo:dissolutionDate","dbo:Place","xsd:date","by","0.528395949267478","dbo:dissolutionDate","4-gram"
