"lemon","partOfSpeech","writtenFormInfinitive/2ndPerson","writtenForm3rdPerson","writtenFormPast","writtenFormPerfect","SyntacticFrame","subject","directObject","sense","reference","domain","range","passivePreposition","value","filename","gram"
"lexicalEntry-2288","verb","serve","serves","served","served","TransitiveFrame","range","domain","1","dbo:office","dbo:Country","xsd:string","by","0.598090233620325","dbo:office","1-gram"
"lexicalEntry-2289","verb","serve","serves","served","served","TransitiveFrame","domain","range","1","dbo:office","dbo:Country","xsd:string","by","0.598090233620325","dbo:office","1-gram"
