LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPerfect,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range,GrammarRule 1 :question 1,GrammarRule 1 :question 2,GrammarRule 1 :sparql,Grammar rule 2: question1,Grammar rule 2: question2,sparql2
born_in,verb,born,-,born,born,in,IntransitivePPFrame,range,domain,1,dbo:birthPlace,dbo:Person,dbo:City,What dbo:City (Y) - in X(dbo:Person)? ,FALSE,SELECT ?Y WHERE { X dbo:birthPlace ?Y.},Which dbo:Person (X) does Y(dbo:City) born in?,FALSE,SELECT ?X WHERE { ?X dbo:birthPlace Y.}
found_in_1,verb,found,found,founded,founded,in,IntransitivePPFrame,domain,range,1,dbo:foundingYear,dbo:Organisation,xsd:gYear,What dbo:Organisation(X) found in Y(xsd:gYear)?,FALSE,SELECT ?X WHERE { ?X dbo:foundingYear Y.},Which xsd:gYear(X) does Y(dbo:Organisation) found in?,FALSE,SELECT ?X WHERE { Y dbo:foundingYear ?X.}
found_in_2,verb,found,found,founded,founded,in,IntransitivePPFrame,domain,range,1,dbo:foundationPlace,dbo:Company,dbo:Country,What dbo:Company(X) found in Y(dbo:Country)?,FALSE,SELECT ?X WHERE { ?X dbo:foundationPlace Y.},Which dbo:Country(X) does Y(dbo:Company) found in?,FALSE,SELECT ?X WHERE { Y dbo:foundationPlace ?X.}
found_in_3,verb,find,finds,founded,founded,in,IntransitivePPFrame,domain,range,2,dbo:foundingYear,dbo:Organisation,xsd:gYear,,FALSE,SELECT ?X WHERE { ?X dbo:foundingYear Y.},-,FALSE,SELECT ?X WHERE { Y dbo:foundingYear ?X.}
found_in_4,verb,found,founds,founded,founded,in,IntransitivePPFrame,domain,range,2,dbo:foundingDate,dbo:Settlement,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:foundingDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:foundingDate ?X.}
found_in_5,verb,found,founds,founded,founded,in,IntransitivePPFrame,domain,range,4,dbo:formationDate,dbo:PoliticalParty,xsd:gYear,-,FALSE,SELECT ?X WHERE { ?X dbo:formationDate Y.},-,FALSE,SELECT ?X WHERE { Y dbo:formationDate ?X.}
