"lemon","partOfSpeech","writtenFormInfinitive/2ndPerson","writtenForm3rdPerson","writtenFormPast","writtenFormPerfect","preposition","SyntacticFrame","subject","prepositionalAdjuct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-2346","verb","bordered","bordered","bordered","bordered","in","IntransitivePPFrame","domain","range","1","dbo:officialLanguage","dbo:Country","dbo:Language","""0.348030565791677""","dbo:officialLanguage","""""""1-gram"""""""
"lexicalEntry-2347","verb","bordered","bordered","bordered","bordered","in","IntransitivePPFrame","range","domain","1","dbo:officialLanguage","dbo:Country","dbo:Language","""0.348030565791677""","dbo:officialLanguage","""""""1-gram"""""""
