"lemon","partOfSpeech","writtenFormInfinitive/2ndPerson","writtenForm3rdPerson","writtenFormPast","writtenFormPerfect","SyntacticFrame","subject","directObject","sense","reference","domain","range","passivePreposition","value","filename","gram"
"lexicalEntry-1287","verb","based","based","based","based","TransitiveFrame","range","domain","1","dbo:ground","dbo:SportsClub","dbo:Stadium","by","0.716969844569617","dbo:ground","1-gram"
"lexicalEntry-1288","verb","based","based","based","based","TransitiveFrame","domain","range","1","dbo:ground","dbo:SportsClub","dbo:Stadium","by","0.716969844569617","dbo:ground","1-gram"
"lexicalEntry-1289","verb","based in","based in","based in","based in","TransitiveFrame","range","domain","1","dbo:ground","dbo:SportsClub","dbo:Stadium","by","0.708281155588936","dbo:ground","2-gram"
"lexicalEntry-1290","verb","based in","based in","based in","based in","TransitiveFrame","domain","range","1","dbo:ground","dbo:SportsClub","dbo:Stadium","by","0.708281155588936","dbo:ground","2-gram"
