"lemon","partOfSpeech","writtenFormInfinitive/2ndPerson","writtenForm3rdPerson","writtenFormPast","writtenFormPerfect","preposition","SyntacticFrame","subject","prepositionalAdjuct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-3536","verb","born","born","born","born","in","IntransitivePPFrame","domain","range","1","dbo:birthPlace","dbo:Person","dbo:City","""0.971238191792164""","dbo:birthPlace","""""""1-gram"""""""
"lexicalEntry-3537","verb","born","born","born","born","in","IntransitivePPFrame","range","domain","1","dbo:birthPlace","dbo:Person","dbo:City","""0.971238191792164""","dbo:birthPlace","""""""1-gram"""""""
