"lemon","partOfSpeech","writtenFormInfinitive/2ndPerson","writtenForm3rdPerson","writtenFormPast","writtenFormPerfect","preposition","SyntacticFrame","subject","prepositionalAdjuct","sense","reference","domain","range","value","filename","gram"
"lexicalEntry-2003","verb","born","born","born","born","in","IntransitivePPFrame","domain","range","1","dbo:movement","dbo:Artist","owl:Thing","""0.245630884534506""","dbo:movement","""""""1-gram"""""""
"lexicalEntry-2004","verb","born","born","born","born","in","IntransitivePPFrame","range","domain","1","dbo:movement","dbo:Artist","owl:Thing","""0.245630884534506""","dbo:movement","""""""1-gram"""""""
