"dbo:Town","wd:Q3957"
"dbo:HandballPlayer","wd:Q19088"
"dbo:Station","wd:Q719456"
"dbo:Beverage","wd:Q2095"
"dbo:Winery","wd:Q4830453"
"dbo:Location","wd:Q3957"
"dbo:Legislature","http://dbpedia.org/ontology/Legislature"
"dbo:Name","wd:Q202444"
"dbo:Wrestler","wd:Q19088"
"dbo:Gymnast","wd:Q19088"
"dbo:Medician","wd:Q901"
"dbo:BaseballTeam","http://dbpedia.org/ontology/BaseballTeam"
"dbo:Biomolecule","wd:Q8047"
"res:Bandleader","res:Bandleader"
"dbo:AmericanFootballCoach","wd:Q19088"
"dbo:Ideology","http://dbpedia.org/ontology/Ideology"
"dbo:BasketballPlayer","wd:Q3665646"
"dbo:Diocese","wd:Q3455524"
"dbo:AcademicConference","wd:Q2020153"
"dbo:Model/dbo:Tower/dbo:BasketballPlayer","http://dbpedia.org/ontology/Model/http://dbpedia.org/ontology/Tower/http://dbpedia.org/ontology/BasketballPlayer"
"dbo:Scientist","wd:Q901"
"dbo:MartialArtist","wd:Q19088"
"dbo:NCAATeamSeason","http://dbpedia.org/ontology/NCAATeamSeason"
"dbo:Model","wd:Q4610556"
"dbo:PopulatedPlace","wd:Q3957"
"dbo:Conifer","http://dbpedia.org/ontology/Conifer"
"dbo:Entomologist","wd:Q3055126"
"dbo:Automobile","http://dbpedia.org/ontology/Automobile"
"dbo:Crustacean","wd:Q19088"
"dbo:BusinessPerson","wd:Q19088"
"dbo:Amphibian","http://dbpedia.org/ontology/Amphibian"
"dbo:SpeedwayLeague","wd:Q24229398"
"dbo:SoccerClubSeason","http://dbpedia.org/ontology/SoccerClubSeason"
"domain","domain"
"dbo:RecordLabel","wd:Q4830453"
"dbo:Star","http://dbpedia.org/ontology/Star"
"dbo:Artist","wd:Q19088"
"dbo:nationality","http://dbpedia.org/ontology/nationality"
"dct:subject  ","dct:subject  "
"dbo:FieldHockeyLeague","wd:Q24229398"
"dbo:Theatre","wd:Q24354"
"dbo:Historian","wd:Q19088"
"dbo:FictionalCharacter","wd:Q24229398"
"dbo:TelevisionEpisode","http://dbpedia.org/ontology/TelevisionEpisode"
"dbo:Constellation","http://dbpedia.org/ontology/Constellation"
"dbo:WaterwayTunnel","http://dbpedia.org/ontology/WaterwayTunnel"
"dbo:SpaceStation","wd:Q25956"
"dbo:Bank","wd:Q486972"
"dbo:Cleric","wd:Q19088"
"dbo:Ship","wd:Q11446"
"dbo:AustralianRulesFootballPlayer","wd:Q19088"
"dbo:Brain","wd:Q4936952"
"dbo:Ligament","wd:Q39888"
"dbo:RailwayLine","wd:Q728937"
"dbo:Disease","wd:Q12136"
"dbo:BowlingLeague","wd:Q24229398"
"dbo:Dancer","wd:Q19088"
"dbo:Protein","http://dbpedia.org/ontology/Protein"
"dbo:Vaccine","wd:Q8386"
"res:Computer_science","res:Computer_science"
"dbo:SoftballLeague","wd:Q24229398"
"dbo:Insect","http://dbpedia.org/ontology/Insect"
"dbo:Fish","http://dbpedia.org/ontology/Fish"
"dbo:field","http://dbpedia.org/ontology/field"
"dbo:MusicGenre","http://dbpedia.org/ontology/MusicGenre"
"dbo:SoccerLeague","wd:Q24229398"
"xsd:langString","xsd:langString"
"dbo:Presenter","wd:Q13590141"
"dbo:TelevisionShow","wd:Q15416"
"dbo:HistoricPlace","http://dbpedia.org/ontology/HistoricPlace"
"dbo:SumoWrestler","wd:Q19088"
"dbo:Earthquake","wd:Q1656682"
"dbo:YearInSpaceflight","http://dbpedia.org/ontology/YearInSpaceflight"
"dbo:MountainPass","http://dbpedia.org/ontology/MountainPass"
"dbo:Group","wd:Q24229398"
"dbo:AutoRacingLeague","wd:Q24229398"
"dbo:Castle","http://dbpedia.org/ontology/Castle"
"dbo:FootballLeagueSeason","http://dbpedia.org/ontology/FootballLeagueSeason"
"dbo:PrimeMinister","wd:Q19088"
"dbo:SoccerTournament","wd:Q1656682"
"dbo:Mountain","wd:Q8502"
"dbo:Library","http://dbpedia.org/ontology/Library"
"dbo:BoxingLeague","wd:Q24229398"
"dbo:GovernmentalAdministrativeRegion","wd:Q19730508"
"dbo:Engineer","wd:Q81096"
"xsd:nonNegativeInteger","xsd:nonNegativeInteger"
"dbo:Athlete","wd:Q19088"
"dbo:Monument","wd:Q4989906"
"dbo:Agent","http://dbpedia.org/ontology/Agent"
"dbo:LawFirm","wd:Q613142"
"dbo:Person","wd:Q19088"
"dbp:ethnicity","http://dbpedia.org/property/ethnicity"
"dbo:Band","wd:Q24229398"
"dbo:SiteOfSpecialScientificInterest","wd:Q422211"
"dbo:Comic","wd:Q245068"
"dbo:Manga","http://dbpedia.org/ontology/Manga"
"dbo:Rower","wd:Q19088"
"dbo:CityDistrict","wd:Q486972"
"dbo:Congressman","http://dbpedia.org/ontology/Congressman"
"dbo:Award","http://dbpedia.org/ontology/Award"
"dbo:President","wd:Q30461"
"dbo:Battery","wd:Q267298"
